Multiplier,Breadth,Full_Trading_CAGR,Full_Std_MaxDD,Full_Calmar,Return_2022
1.5,150,0.2770625809972276,-0.15313696914212607,1.809246862787825,-0.07813403907693682
1.5,160,0.2760539927880592,-0.16627662671440926,1.660209244334741,-0.09230325994871875
1.5,170,0.26881748766006486,-0.19521960963490792,1.3770004363946675,-0.12018854113728544
1.5,180,0.27415111317207286,-0.17555510372652874,1.5616242840716965,-0.10086378186811937
1.5,190,0.2772437378743484,-0.14018118421793596,1.9777528590664846,-0.062297663350539066
1.5,200,0.28017380968469907,-0.14736502681063654,1.9012232125110748,-0.07160525707173684
1.5,210,0.2786941175071209,-0.14952556601785427,1.8638559607515088,-0.07359185147902395
1.5,220,0.28242090479767934,-0.14515615784493593,1.9456350250009884,-0.06918579635124208
1.5,230,0.2868379864850086,-0.11360874433694107,2.5247879303577534,-0.03211366294889716
1.5,240,0.2868379864850086,-0.11360874433694107,2.5247879303577534,-0.03211366294889716
1.5,250,0.28868678756765664,-0.11131533174828342,2.593414429383924,-0.0330036123174969
1.5,260,0.29190139969988427,-0.11131533174828342,2.622292860429674,-0.009036455349303144
1.5,270,0.290293803651412,-0.11104465902502952,2.614207708864049,-0.022830775358603287
1.5,280,0.2905463764602896,-0.11104465902502952,2.6164822244607033,-0.02095022263137967
1.5,290,0.2920926161856676,-0.11104465902502952,2.6304067097889847,-0.009399586745920212
1.5,300,0.2911758343808424,-0.11104465902502952,2.622150735905373,-0.016255965744233696
1.5,310,0.1088420858544985,-0.2573232827348065,0.4229779936651497,-0.08747253654559342
1.5,320,0.23162072191944705,-0.2559800963009825,0.9048387951503323,-0.1531645993553341
1.5,330,0.2920536718335305,-0.11461797600906747,2.548061674116685,-0.03403417895834897
1.5,340,0.26370996735305297,-0.2908906117284004,0.9065605994849859,-0.198404659517067
1.5,350,0.25910453730996386,-0.31515274263003595,0.8221554258029472,-0.07058155425363458
1.5,360,0.26400250037569295,-0.15171505153313825,1.7401206914399552,-0.07466555348924628
1.5,370,0.28373292162940067,-0.2311206377121055,1.2276399218958172,-0.17118697140595862
1.5,380,0.22127357998352393,-0.3028188020078847,0.7307128174219595,-0.13811407157476574
1.5,390,0.22655246601327272,-0.18722611784731968,1.2100473407135597,-0.07339756196538927
1.5,400,0.10409285592272077,-0.32619088344722325,0.31911638615603033,-0.1394545389737955
1.5,410,0.25138846276264615,-0.28473972973430517,0.8828710450670878,-0.18835537006701047
1.5,420,0.2805912681296965,-0.16434537229233448,1.7073268581641956,-0.06982565973305663
1.5,430,0.25946664656289764,-0.3959730664268866,0.6552633715828906,-0.28028561750123215
