BreadthWindow,CAGR,MaxDD,Calmar,TotalReturn
180,0.09561508398790264,-0.057083850415590484,1.6749935978703476,0.4042631800883354
190,0.09940786997469941,-0.04781521206059911,2.079000922315555,0.4224225510716686
200,0.10227430366511636,-0.04679760128106521,2.185460383981211,0.4362601143683351
210,0.10344018855591086,-0.043130646840879104,2.3982990317193793,0.44191641953333516
220,0.10700838552705583,-0.041222200173994604,2.5958921424714014,0.45932877590000176
230,0.11364435141388385,-0.041222200173994604,2.7568725331060184,0.4921195483500018
240,0.11364435141388385,-0.041222200173994604,2.7568725331060184,0.4921195483500018
250,0.11334197117419076,-0.042723661499207824,2.6529086505446715,0.4906137743483354
260,0.11644404153421739,-0.041222200173994604,2.8247895804377072,0.5061141320983353
270,0.11442849441081893,-0.041222200173994604,2.775894880133234,0.4960295546933351
280,0.11455758545888206,-0.041222200173994604,2.7790264705752348,0.4966739642966689
290,0.1180762146619303,-0.04082120740223644,2.8925213675933885,0.514316880730002
300,0.1168709490023967,-0.04082120740223644,2.862995889631471,0.5082564794933353
310,0.08492271755684477,-0.053954939378797806,1.5739563149285292,0.350662105749999
320,0.07855665248316668,-0.061443235122244255,1.27852402834705,0.3175656984233326
330,0.11214729270095525,-0.041940178780598046,2.6739822280594505,0.4674932335183364
340,0.06924545880162847,-0.10006504792114848,0.6920044535050247,0.2700211314600003
350,0.0692027308470935,-0.08818420839897657,0.7847519652724652,0.2665872650750014
360,0.04829799302981708,-0.09348759727743129,0.5166246051493788,0.1788302501166661
370,0.06851674706428956,-0.08236016777694283,0.8319160695477748,0.25685950867500096
380,0.0668832735880418,-0.08833799517501095,0.7571291770379881,0.24714499534833223
390,0.08469821899839358,-0.06676782012816809,1.2685485138769865,0.31552209554000066
400,0.07081690145145436,-0.05778550457431407,1.2255132489218206,0.25629433781666533
