roc,reb,atr_p,atr_m,mkt_t,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,5,10,3.5,0.42,0.2576018088370646,1.6739038402878346,0.6627540910416667,0.3117361694448384,0.010996185686858118,0.18676770258237307,0.26317040461334096,0.0922127546730167
8,5,10,3.5,0.45,0.2506813479030585,1.6019172698631898,0.6251403155166666,0.31862988816276006,-0.023922749685026945,0.19672893034379024,0.27496765222015207,0.09545478158331133
8,5,10,3.5,0.48,0.25322134664312834,1.618148504780285,0.6251403155166666,0.31862988816276006,-0.01420343907812427,0.19478931150642387,0.27268549343379456,0.10102531186094499
8,5,10,4.0,0.42,0.2585956888187877,1.4910409560475943,0.6576988930500001,0.26610606816270543,0.011430503731263864,0.20080667021699772,0.27632188098683397,0.11523781176741443
8,5,10,4.0,0.45,0.25170142023471986,1.4267706854139715,0.6200851175250004,0.2720082666962189,-0.024884293194606277,0.21195812379329815,0.2890592784613508,0.11935848670092519
8,5,10,4.0,0.48,0.25423170979944,1.441113643722212,0.6200851175250004,0.2720082666962189,-0.014774327660711406,0.209783099952221,0.28659283631848953,0.12486491319361237
8,5,10,4.5,0.42,0.2598996186908349,1.4985593058387954,0.6576988930500001,0.26610606816270543,0.011430503731263864,0.20984909956520137,0.2657790773466153,0.12270981853242002
8,5,10,4.5,0.45,0.2530395291238172,1.43435576195059,0.6200851175250004,0.2720082666962189,-0.024884293194606277,0.22150270892638924,0.27793419088671967,0.12710108566306344
8,5,10,4.5,0.48,0.25555715017004377,1.4486269087021164,0.6200851175250004,0.2720082666962189,-0.014774327660711406,0.2192297426245744,0.2755811583696013,0.1325603745842605
8,5,15,3.5,0.42,0.25423477744679546,1.6256892703211705,0.6868055237499997,0.2849712993587681,0.0093521307984481,0.2062505828746226,0.24768593341101863,0.08052018031178099
8,5,15,3.5,0.45,0.24722467029430417,1.5394535823612339,0.6491917482250005,0.29118527321031773,-0.025842554041498156,0.217350784855888,0.2586995338442306,0.08336458699567162
8,5,15,3.5,0.48,0.24979790588220285,1.555476970073044,0.6491917482250005,0.29118527321031773,-0.016054304600789604,0.21518858860029066,0.25656956481674587,0.08904066106140252
8,5,15,4.0,0.42,0.2591120858862541,1.7190444647768157,0.6524283189999998,0.32460146276565327,0.011270483707806145,0.18909059475202095,0.26017048553526956,0.09565275587956501
8,5,15,4.0,0.45,0.2522313782048802,1.6290014285110228,0.6148145434750001,0.331823527273593,-0.023507596624335436,0.19913209946175003,0.27175911787085627,0.0990027804782092
8,5,15,4.0,0.48,0.2547566412304565,1.6453104900770603,0.6148145434750001,0.331823527273593,-0.013826202184324288,0.1971771941450331,0.26951780853130347,0.10452895688679464
8,5,15,4.5,0.42,0.25908027219141827,1.4938350229499167,0.6576988930500001,0.26610606816270543,0.011430503731263864,0.20455618403479225,0.2754568316468027,0.11495497467355564
8,5,15,4.5,0.45,0.252198730009896,1.429589688215503,0.6200851175250004,0.2720082666962189,-0.024884293194606277,0.21591586042175748,0.2881127765685578,0.11905508720521985
8,5,15,4.5,0.48,0.25472430234843113,1.443905906904909,0.6200851175250004,0.2720082666962189,-0.014774327660711406,0.21370022397584343,0.28566239186035514,0.12454961637035922
8,5,20,3.5,0.42,0.24108303790157048,1.5110335930368053,0.6628517205083331,0.28617466136436676,0.007901700398270428,0.14059960650773995,0.27017183936886235,0.07242510485680209
8,5,20,3.5,0.45,0.23370881067807825,1.4256681534328164,0.6252379449833334,0.29250275089438915,-0.027782430728468865,0.14828167292670313,0.28310740801083023,0.0751275167816643
8,5,20,3.5,0.48,0.2364171437261655,1.4421894996514073,0.6252379449833334,0.29250275089438915,-0.01786503610403367,0.14678435542957224,0.28059915134213265,0.08117776603895832
8,5,20,4.0,0.42,0.25578822041623606,1.6485779800988516,0.6654849532666662,0.28722598348679895,0.01151339143303498,0.2054270440132342,0.26250018196679226,0.08529316256503061
8,5,20,4.0,0.45,0.24881964926876,1.5769290823517434,0.6278711777416666,0.2935675036069818,-0.024022988990173966,0.21658114516833948,0.2742843101528627,0.08829783292718596
8,5,20,4.0,0.48,0.25137748396683124,1.5931397149729645,0.6278711777416666,0.2935675036069818,-0.014129334791549875,0.2144076562596453,0.27200457583774207,0.0939260576700518
8,5,20,4.5,0.42,0.26553204863620383,1.761636848654344,0.6568964595999995,0.3240660510716322,0.011245703652523531,0.20012552179023935,0.27015135547390057,0.10638814490152892
8,5,20,4.5,0.45,0.25881723046588334,1.6715352433658202,0.6192826840749999,0.33125719727333314,-0.023455040334076638,0.21072869671491445,0.282041201641565,0.11004023869680024
8,5,20,4.5,0.48,0.26128102169402667,1.6874472978404158,0.6192826840749999,0.33125719727333314,-0.013795290734430643,0.20866463595288232,0.27974257818102877,0.11538720050773255
8,7,10,3.5,0.42,0.314102645091328,1.8427967840898813,0.743959586358333,0.12494826010915006,-0.04486589152478526,0.2507215445547126,0.6875948576130453,0.2053543811584586
8,7,10,3.5,0.45,0.3066708301336505,1.4813922772660468,0.649698545358333,0.13186628017655044,-0.07769649041235127,0.2724878935324948,0.7348203694577715,0.21357873511554226
8,7,10,3.5,0.48,0.305003170635993,1.5528240631317827,0.649698545358333,0.13186628017655044,-0.066382249214887,0.2691856922319915,0.7277573839936811,0.1979590078700546
8,7,10,4.0,0.42,0.31946727812063647,1.6057310358385535,0.7721891154833327,0.09033400625103916,-0.06469601014191695,0.2764014122518679,0.7436701745123393,0.21387952963049472
