roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
10,10,2.0,5,0.4,14,0.21435748305246283,1.0962206355871047,0.3705695784750005,0.4651489861639546,-0.06467423862176902,0.16453245179559461,0.15223268438917836,0.16905664122677821
10,10,2.0,5,0.4,20,0.22338271462475,1.1629520648358458,0.3705695784750005,0.4651489861639546,-0.05721102435280456,0.17970562215258412,0.14905758019963122,0.19749770342435435
10,10,2.0,5,0.4,30,0.2108304018556877,1.0242872388769717,0.28215965663333353,0.4957012884092733,-0.10630435202987287,0.1979321147021189,0.16179748231050106,0.21205670976993174
10,10,2.0,5,0.45,14,0.2108648745485664,1.0583113898872778,0.34669519874166754,0.4730219135393958,-0.07789944732131582,0.16881650922976754,0.15565494456458473,0.17235173714284913
10,10,2.0,5,0.45,20,0.2232059363811154,1.1609121737482744,0.3705695784750005,0.4651489861639546,-0.05846323771947948,0.17994462480350681,0.14922706038004874,0.1976934747373318
10,10,2.0,5,0.45,30,0.21064479221526122,1.0223289211854547,0.28215965663333353,0.4957012884092733,-0.10761175083331387,0.19822209634426358,0.1619971907922224,0.212282424929096
10,10,2.0,9,0.4,14,0.25269391554898224,1.3549162327133664,0.37061343069166597,0.4009629195229105,-0.026580150705939887,0.05192238228565427,0.3897090895330251,0.2955803684453575
10,10,2.0,9,0.4,20,0.25291150380281824,1.356082916353254,0.37061343069166597,0.4009629195229105,0.021176823410637535,0.060002114562992315,0.3685135313801955,0.24513949786762357
10,10,2.0,9,0.4,30,0.2461728752476493,1.2572643869672164,0.3005926166416659,0.421601916954891,0.0008647036528537377,0.06345095262817457,0.38856960685761077,0.25478420684477054
10,10,2.0,9,0.45,14,0.2581873089322242,1.3843711875406897,0.37061343069166597,0.4009629195229105,0.0196861857261168,0.04956650217193914,0.37274966951112076,0.28617541568822524
10,10,2.0,9,0.45,20,0.25590191770673476,1.3721171779307269,0.37061343069166597,0.4009629195229105,0.04626452379914814,0.05856336266173545,0.3601123494244032,0.2410157948853291
10,10,2.0,9,0.45,30,0.24694624282758904,1.261214162162047,0.3005926166416659,0.421601916954891,0.007392747330637439,0.06303978172064961,0.38618460400807253,0.2536517669576095
10,10,2.0,13,0.4,14,0.1993628882870655,0.9018003191245711,0.209987262591667,0.05129918716643078,0.016868811102229042,0.426860441896455,0.3613885674389212,0.0992430483120692
10,10,2.0,13,0.4,20,0.20751929367768152,0.9386950945131363,0.209987262591667,0.05129918716643078,0.016868811102229042,0.43631632503550555,0.35898451112642027,0.13710044029329604
10,10,2.0,13,0.4,30,0.19861827297243662,0.7937847548323331,0.05635507331666667,0.058327782319844035,0.045988134840890815,0.4797172307040305,0.3833860917330687,0.14388570163906045
10,10,2.0,13,0.45,14,0.2067093744077062,0.9350314966268678,0.209987262591667,0.05129918716643078,0.026938927196344498,0.4226746679501714,0.35887161223977637,0.1324771204993498
10,10,2.0,13,0.45,20,0.21428974041502524,0.9693206090249493,0.209987262591667,0.05129918716643078,0.023174357139688517,0.43362742587065783,0.3574252775888451,0.17030408566172373
10,10,2.0,13,0.45,30,0.20407345082853467,0.8155865606393472,0.05635507331666667,0.058327782319844035,0.03484933763746789,0.48488075814078613,0.3861964698611777,0.18026543953186858
10,10,3.0,5,0.4,14,0.26475873386595183,1.5835864040573109,0.600897753325,0.48218693554711844,-0.0632256442872553,0.234695983346362,0.16232094280174802,0.1616859056511324
10,10,3.0,5,0.4,20,0.27483426987411974,1.6903348097619642,0.600897753325,0.48218693554711844,-0.03880468059429054,0.2423923389731506,0.15718180966338102,0.18236294508376316
10,10,3.0,5,0.4,30,0.2671927658879807,1.5773597430904265,0.5124878314833332,0.5090277909229082,-0.060091548383173765,0.25705308910188296,0.16479915112976418,0.18996198677143838
10,10,3.0,5,0.45,14,0.26094464662651995,1.5295773661235201,0.577858329158333,0.4889050907296677,-0.08122499020088259,0.24153954472961692,0.16616096411215175,0.1649710135896203
10,10,3.0,5,0.45,20,0.2741443787472979,1.6799010028400627,0.600897753325,0.48218693554711844,-0.04381815878327222,0.24366325696409663,0.15784905347417078,0.1830325437151239
10,10,3.0,5,0.45,30,0.2664829645557121,1.5671517591824713,0.5124878314833332,0.5090277909229082,-0.06529051435875544,0.2584828491339448,0.16553278484074285,0.19068866345006108
10,10,3.0,9,0.4,14,0.3313741465242952,2.276905895829047,0.7352659577499991,0.4849243234873146,-0.023178773203051062,0.1647134051674115,0.3349184090637749,0.27890706531534626
10,10,3.0,9,0.4,20,0.33153733571369637,2.2780271855596443,0.7352659577499991,0.4849243234873146,0.012444571299781826,0.16682369305424372,0.32249420494187486,0.24381322760512525
10,10,3.0,9,0.4,30,0.3272630961212206,2.161441080020289,0.6652451436999991,0.5044917417775823,0.0035760794562440523,0.17283109412374853,0.3324418566784959,0.2494724173121765
10,10,3.0,9,0.45,14,0.33833518476419444,2.324735906636351,0.7352659577499991,0.4849243234873146,0.018953028965230434,0.15790281389999583,0.3229048796038487,0.28184310387392864
10,10,3.0,9,0.45,20,0.3367989970380152,2.3141806025261027,0.7352659577499991,0.4849243234873146,0.04020369777882182,0.1623717957911579,0.3150577687205349,0.24985037080280947
10,10,3.0,9,0.45,30,0.3301623362258512,2.1805893944415082,0.6652451436999991,0.5044917417775823,0.011289279838767596,0.1715128947836746,0.33026755408421815,0.2589414375397663
10,10,3.0,13,0.4,14,0.25952184124150945,1.2488005856817719,0.411798843916666,0.03473279629561188,-0.010240354579074018,0.5911693482990794,0.4379109657824902,0.11168554445044543
10,10,3.0,13,0.4,20,0.2667445524838581,1.2835557569093896,0.411798843916666,0.03473279629561188,0.0025167974269348914,0.5640778616751998,0.43984608408852743,0.15225311356052118
10,10,3.0,13,0.4,30,0.26183788059988156,1.1311417385558693,0.2581666546416661,0.03876575248497116,0.05284167559966946,0.5973429249753484,0.4562520937213326,0.15620805379177272
10,10,3.0,13,0.45,14,0.26382489240376006,1.2657035010934423,0.4072968537666659,0.0348390057945116,-0.016189038083157192,0.5965063115812483,0.44041185705879893,0.13816126265539963
10,10,3.0,13,0.45,20,0.2719706378225917,1.3087033067287517,0.411798843916666,0.03473279629561188,0.005775395472102707,0.5622503134714432,0.4389248653128186,0.17799332362326425
10,10,3.0,13,0.45,30,0.2659335995993317,1.1488352773939485,0.2581666546416661,0.03876575248497116,0.04082185467413346,0.6042412764627774,0.4595705804312664,0.18381110080345087
10,10,4.0,5,0.4,14,0.26656789155535066,1.366773335638475,0.6498057070583334,0.3982850550431505,-0.05086342138980915,0.24174710759620988,0.16074679107500334,0.18566946057285616
10,10,4.0,5,0.4,20,0.27651402120937263,1.4177701182014555,0.6498057070583334,0.3982850550431505,-0.025708646726637197,0.24938611685445355,0.15560361345867402,0.20558810259210825
10,10,4.0,5,0.4,30,0.2693387480029914,1.326913069814704,0.5613957852166673,0.41979321420387494,-0.04397553189416337,0.26384753663004723,0.16279491118342326,0.2137720233752789
10,10,4.0,5,0.45,14,0.26026304424631674,1.3208314618445338,0.6267662828916669,0.403674823461297,-0.07862925037806623,0.2514402684137951,0.16593527354765203,0.18422545366860055
10,10,4.0,5,0.45,20,0.27343172883430666,1.4019662829897148,0.6498057070583334,0.3982850550431505,-0.04012326263190702,0.2531311863478767,0.1574814254967054,0.20143323013838366
10,10,4.0,5,0.45,30,0.266172665661387,1.3113151802784468,0.5613957852166673,0.41979321420387494,-0.05894009371604836,0.26804319170693125,0.1648514489881605,0.2095388540013039
10,10,4.0,9,0.4,14,0.3355306281732815,2.497294053737886,0.8563982317166665,0.4827799213604709,0.01179276882416036,0.17287876074848607,0.2860810630373385,0.21477522565811036
10,10,4.0,9,0.4,20,0.3365873523827838,2.5051590617676984,0.8563982317166665,0.4827799213604709,0.04521584442044091,0.17892513845624447,0.27547002206949545,0.18471633664202192
10,10,4.0,9,0.4,30,0.332885932134404,2.3875550319266754,0.7863774176666667,0.5009896620715726,0.04171222568420552,0.18405637168489908,0.2821695508454234,0.1882286575280414
10,10,4.0,9,0.45,14,0.3453489245619308,2.494217353508342,0.7993239081166665,0.49751997756910926,0.05705889819834975,0.1688628343185774,0.28037219272888136,0.24700526760693342
10,10,4.0,9,0.45,20,0.34717018077513173,2.583925148070527,0.8563982317166665,0.4827799213604709,0.07585248205571893,0.17382995605702556,0.2687609192956042,0.21558347874229655
10,10,4.0,9,0.45,30,0.34125664979847437,2.447592261351016,0.7863774176666667,0.5009896620715726,0.05364490728459659,0.1819719065442671,0.2794548531913734,0.22230423737409155
10,10,4.0,13,0.4,14,0.2777935047227993,1.1340863976124973,0.41752970547499957,-0.0736851766355141,0.012498161975687871,0.7910695920520532,0.3955348085238142,0.20192676298084544
10,10,4.0,13,0.4,20,0.28288459422185386,1.1548706681290704,0.41752970547499957,-0.0736851766355141,0.014037766591785239,0.7683344047800962,0.400055142584012,0.2397770074566008
10,10,4.0,13,0.4,30,0.2775312404585639,1.0184947793333183,0.2638975162000001,-0.08220414239091955,0.06120628476529322,0.8269943974059664,0.4169411342436973,0.2470213672417756
10,10,4.0,13,0.45,14,0.2824129461033218,1.1599970267081288,0.42682638482499957,-0.07322597443349865,0.0039004538512228404,0.7924628318485569,0.39592716391397653,0.2278994860670558
10,10,4.0,13,0.45,20,0.28766553233595316,1.1743887518525815,0.41752970547499957,-0.0736851766355141,0.0156617306757747,0.7671058978469598,0.39968966764550684,0.2656233831510497
10,10,4.0,13,0.45,30,0.2812481539572471,1.0321352508974828,0.2638975162000001,-0.08220414239091955,0.045399134638534955,0.8394991184839149,0.42040319561878037,0.2754535190774132
