ROC,ATR_P,ATR_M,Full_CAGR,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
10,10,1.5,0.22436594702252788,1.6434178549623142,0.5622848438509853,6.035826070239506,0.3540980060739436,2.5936689293141395,0.033968733987136845,0.25972467811386085,0.009250256213854113,0.07784770439253763,0.2817175092095754,2.804479715095158,0.2515503832160819,4.5127416134588385
10,10,2.0,0.25879157657500884,1.3876112023876386,0.5442235795382651,3.9207827629083893,0.40786829602045116,2.186943733435989,0.025130034702174342,0.2077804991681577,0.050054447852418305,0.36176400557209065,0.3724396821475229,4.7987187904043935,0.2871659439628269,5.303111846458167
10,10,2.5,0.3057155633599824,1.9246261819631973,1.0007688014403104,9.507689992642469,0.45432783019297895,2.8602117195921464,0.028540591103953794,0.304504200345801,0.06822729898268709,0.5857695586802284,0.30187183461189515,5.2149699097646085,0.3132289041849472,6.988421228840459
10,10,3.0,0.338786684511281,2.3278382079078574,1.1375617726804972,11.290914663515718,0.49351071426053617,3.390962954535244,0.023064363574143654,0.2529591907380861,0.15977838527612387,1.9620827989230214,0.32311990749947306,6.7861216651219864,0.2831154600401893,6.817515623225613
10,10,3.5,0.3451584349090211,2.528370126360031,1.2188331392733418,11.816810939392091,0.525549709557158,3.849780423044733,0.05926995126430912,0.7176073978669176,0.16572479037396803,2.3068548105200017,0.26565761607485605,5.625866216850686,0.26311856892913865,6.599879590289264
10,10,4.0,0.3481155829012226,2.5909616058768723,1.3459024431159334,13.490714605209384,0.49132248208702944,3.6568247723424445,0.05928579006042667,0.897617413420444,0.16784002738872306,2.2318496236940515,0.27625193149916005,5.646857201117216,0.24509453502850875,6.237856292758384
10,15,1.5,0.2174589775778195,1.189485014238324,0.42365372387903455,2.820873613232829,0.3808962177135158,2.0834749983506664,0.025592123799768274,0.1780027224534697,0.030336667570583842,0.22560111837733554,0.3125361608081121,3.3831025731005666,0.2234288155211719,3.9703236625882563
10,15,2.0,0.26368016857117693,1.7140432055212422,0.5907664935109369,5.952615180564803,0.42379454803569616,2.7548608207198115,0.026284010355325238,0.2240916039824923,0.05410943034804738,0.4105536701526189,0.3647984355396199,5.183230775851755,0.2749865304448955,5.23237218805665
10,15,2.5,0.2786463329384461,1.7709873895507393,0.8818301103146238,9.2748910209511,0.31624680851481224,2.0099640428037535,0.021995666158496574,0.19872585344210314,0.05205501286030123,0.3850593224505175,0.32870749375601993,4.8396809394254285,0.34557658540365455,6.654815470207387
10,15,3.0,0.3331703994065316,2.1013400829785676,1.1593562356164622,11.63057316937153,0.46987787253295643,2.963568220397069,0.03060788172719664,0.35615400824159743,0.1386739129568353,1.6420341205533178,0.310420587687374,5.832861781640641,0.2898868033015547,6.788925378834387
