roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
20,9,10,3.0,0.35,5,0.27856210363133727,1.623876736157909,-0.17154140916533786,0.710226132708333,0.560395880019873,-0.127248257578378,0.15745668746371289,0.2828774375787877,0.16641679891881678
20,9,10,3.0,0.35,10,0.2843218168721249,1.866531330852799,-0.1523263028980184,0.7727673465416665,0.540939875891211,-0.10866406954439167,0.1507442265143073,0.27229356489775336,0.16150647998728984
20,9,10,3.0,0.35,14,0.28716485269295755,2.0932015195588582,-0.13718930070023908,0.7770297349749997,0.5396629431220248,-0.09092075647999931,0.14758902159482568,0.26727865165235887,0.1591515592712771
20,9,10,3.0,0.4,5,0.2868666328856666,2.0137113671613784,-0.1424566785308697,0.710226132708333,0.560395880019873,-0.06740725211670962,0.14839206737631616,0.26779842783019747,0.15939649232658626
20,9,10,3.0,0.4,10,0.292718825316612,2.1286517352931553,-0.13751372310618915,0.7727673465416665,0.540939875891211,-0.048344012156278704,0.1421591029645719,0.2578571393701179,0.1546772280496851
20,9,10,3.0,0.4,14,0.29547618096204475,2.153784438391921,-0.13718930070023908,0.7770297349749997,0.5396629431220248,-0.030692730700642157,0.13935741144706038,0.2533554941793825,0.15251591838679524
20,9,10,3.0,0.42,5,0.2882016401332723,2.023082688052567,-0.1424566785308697,0.710226132708333,0.560395880019873,-0.06143329545196741,0.14744755509434193,0.2662984590160933,0.16112326825788426
20,9,10,3.0,0.42,10,0.2987043869342494,2.1721787483245407,-0.13751372310618915,0.7727673465416665,0.540939875891211,-0.023038591234414763,0.13847687365017292,0.25193641002752676,0.16380772105183383
20,9,10,3.0,0.42,14,0.3018471526995279,2.2002237139401197,-0.13718930070023908,0.7770297349749997,0.5396629431220248,0.0059730406828886196,0.13427810337211454,0.24514134873610405,0.15438360099018067
20,9,10,4.0,0.35,5,0.2926606133865095,2.0465863983061428,-0.1429993933452944,0.793812163383333,0.5445390497029765,-0.11707186189767305,0.1758225699088607,0.30412955521705376,0.14095129903466952
20,9,10,4.0,0.35,10,0.2982632644214518,2.1546377525582563,-0.13842849642234117,0.8563533772166665,0.5264718995641982,-0.0984752183523151,0.16852527807812812,0.2932267987058317,0.13703198641618575
20,9,10,4.0,0.35,14,0.30175790714177864,2.202171405726332,-0.1370274386258554,0.8763587931249996,0.5209430830255526,-0.0809290670360906,0.16420345250118906,0.2867087662555241,0.1346575024672123
20,9,10,4.0,0.4,5,0.30137820465419063,2.107548833626628,-0.1429993933452944,0.793812163383333,0.5445390497029765,-0.044521464798781274,0.15981560525967864,0.28699165391031234,0.13363517048114004
20,9,10,4.0,0.4,10,0.3069844410773006,2.217639062846571,-0.13842849642234117,0.8563533772166665,0.5264718995641982,-0.026255482458551138,0.15342520202512078,0.2769548594677691,0.12996445606209983
20,9,10,4.0,0.4,14,0.310371071755549,2.2650286312582786,-0.1370274386258554,0.8763587931249996,0.5209430830255526,-0.009205657498819297,0.14974876242441137,0.27113297980821716,0.1278089648449876
20,9,10,4.0,0.42,5,0.30482453169906987,2.1316491249933023,-0.1429993933452944,0.793812163383333,0.5445390497029765,-0.0360910449830365,0.15841784602273656,0.28480524828617004,0.14408453558160605
20,9,10,4.0,0.42,10,0.31472317783211,2.2735432802209963,-0.13842849642234117,0.8563533772166665,0.5264718995641982,0.0004070114677874326,0.14933616779180392,0.2704774188404371,0.14722804093787079
