roc,reb,atr_m,mkt_t,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,7,4.0,0.38,0.32049917683658147,1.717164049211417,-0.18664447172870066,0.7499940982916664,0.1494463095970866,-0.04340171415287042,0.2547963699855742,0.6786437225472823,0.20863559518730646
8,7,4.0,0.4,0.3176352553961699,1.9053715023401832,-0.1667051569765,0.7499940982916664,0.1494463095970866,-0.07298071376588489,0.2629263213696682,0.6958966464968648,0.2117977166153957
8,7,4.0,0.42,0.3203222425756531,1.9640754837672019,-0.16309059668178227,0.7499940982916664,0.1494463095970866,-0.04523792154285855,0.25528639675566334,0.6796898075381677,0.20882914226722016
8,7,4.5,0.38,0.32080045847003813,1.6500180381791227,-0.1944223948145788,0.7385443220749994,0.1130701722377494,-0.03510081228998341,0.28868724024645775,0.6946962182392533,0.20307703699327284
8,7,4.5,0.4,0.317939641570252,1.8272872601616075,-0.1739954349280217,0.7385443220749994,0.1130701722377494,-0.06585414562803393,0.29819121105378965,0.712423742983815,0.2061364844275575
8,7,4.5,0.42,0.3212909973322533,1.8867010819119012,-0.17029247526941094,0.7385443220749994,0.1130701722377494,-0.03700992005836279,0.28925955668508574,0.6957709851288303,0.20674908334737996
8,7,5.0,0.38,0.31830503719031333,1.4401090779833952,-0.22102842212205226,0.7780484062166662,0.08656141799392447,-0.05343664699606854,0.28012825641384365,0.7141653264119747,0.21064974412817583
8,7,5.0,0.4,0.3154183821695338,1.582469291750252,-0.19932038101078908,0.7780484062166662,0.08656141799392447,-0.08426126258558142,0.2895576334478407,0.732927287376715,0.213878854354985
8,7,5.0,0.42,0.3187999740390266,1.6389240891021613,-0.19451784018482043,0.7780484062166662,0.08656141799392447,-0.055350179829481094,0.28069569908388803,0.7153020242664956,0.21439228988886572
8,7,5.5,0.38,0.32296898280572917,1.500138036440288,-0.21529284303203836,0.835350716491666,0.09089310073013346,-0.053019169268452626,0.27513088095138594,0.6972324182312608,0.20825098478184056
8,7,5.5,0.4,0.32013039085142037,1.6477973405238628,-0.19427776886060846,0.835350716491666,0.09089310073013346,-0.08277870604610194,0.2840575899411486,0.7149600041767947,0.21137218051940976
8,7,5.5,0.42,0.32477943848242474,1.7162542190557968,-0.18923737222397233,0.835350716491666,0.09089310073013346,-0.054443184763750097,0.275545230074989,0.6980606455564391,0.21860852527739105
8,7,6.0,0.38,0.3214306217011931,1.4833674298966695,-0.21668982021776206,0.8211246134583323,0.09158313445269006,-0.053391747204873496,0.2825761705319161,0.7012748542767715,0.19926572537231557
8,7,6.0,0.4,0.318576285044085,1.6292263291899645,-0.19553838489860276,0.8211246134583323,0.09158313445269006,-0.08336041111435866,0.2918147310154273,0.7191342055532848,0.20224981814765308
8,7,6.0,0.42,0.32325101817997104,1.697165036891759,-0.19046528248777916,0.8211246134583323,0.09158313445269006,-0.054825769585642226,0.2830048963051921,0.702109205579726,0.2096085918911097
8,9,4.0,0.38,0.28698179990695705,2.194216297575573,-0.13079011409406088,0.7156277386583332,0.20798915750218594,0.005329590481072399,0.32069773304115734,0.18814898359244525,0.24010930370974704
8,9,4.0,0.4,0.2873199607521342,2.196801820552745,-0.13079011409406088,0.7156277386583332,0.20798915750218594,0.008300187627511058,0.31975291146685736,0.18773119609771127,0.23966195789417077
8,9,4.0,0.42,0.2945470796257825,2.252059199321073,-0.13079011409406088,0.7156277386583332,0.20798915750218594,0.04957377602206492,0.30717890251451685,0.182112672654841,0.2477377216458898
8,9,4.5,0.38,0.2905396455102689,2.2003411814651486,-0.1320429976758451,0.770785248525,0.19807182151546865,-0.0033811132517150844,0.335604587502661,0.19846850129480664,0.21872698432672655
8,9,4.5,0.4,0.2908734273566631,2.2028690084023532,-0.1320429976758451,0.770785248525,0.19807182151546865,-0.00047594286334540215,0.33462913473306277,0.19803851178000142,0.21833275778462125
8,9,4.5,0.42,0.3003387391963559,2.2745525660789925,-0.1320429976758451,0.770785248525,0.19807182151546865,0.04014607241375079,0.3215604800663747,0.1922155407509254,0.23914046249104426
8,9,5.0,0.38,0.2786988458022155,1.6721100678725038,-0.16667494033859612,0.7810171046583323,0.16628088228714133,-0.04173192948947968,0.34800554057943067,0.17895775074319675,0.23662227608701936
8,9,5.0,0.4,0.27896570256629616,1.599656966854134,-0.17439095277714867,0.7810171046583323,0.16628088228714133,-0.03946032259982413,0.3471825326368976,0.17864530764457243,0.23627302394717553
8,9,5.0,0.42,0.28884550839109724,1.867036273697589,-0.15470803243637604,0.7810171046583323,0.16628088228714133,0.0020420283178776977,0.33280300473807145,0.17312307249807346,0.25802823220804916
8,9,5.5,0.38,0.282595419049418,1.780932750669476,-0.15867832120173356,0.7785165521166655,0.16120859186255454,-0.04751002062760601,0.3646700421275757,0.17790953083850303,0.2588383832538932
8,9,5.5,0.4,0.28285846913432877,1.6981696268403896,-0.16656667547435444,0.7785165521166655,0.16120859186255454,-0.0452253494954008,0.3637974266705266,0.17759907319972523,0.25845619273117126
8,9,5.5,0.42,0.292865960343043,1.9649456625109971,-0.14904532269293932,0.7785165521166655,0.16120859186255454,0.001375911677577779,0.3468673021322508,0.17149488000596125,0.2772358750734585
8,9,6.0,0.38,0.28388706976130296,1.8222135207858297,-0.15579242856176187,0.7876260633666656,0.164939894972298,-0.0453459372513092,0.3825061482714336,0.17282328206582775,0.24241789922587698
8,9,6.0,0.4,0.28414887252864807,1.7366339018655024,-0.16362047995459128,0.7876260633666656,0.164939894972298,-0.04307982955767031,0.38160032545335953,0.17252863002982277,0.24206664376866005
8,9,6.0,0.42,0.2969935923976361,2.0079896344548023,-0.14790593900564336,0.7876260633666656,0.164939894972298,0.003367006725267574,0.36393567460970155,0.16670321637799623,0.2769686260638673
8,11,4.0,0.38,0.2933464857964021,1.4048727214760317,-0.20880645008766144,0.6719257112416666,0.35130111558537,0.10912003469661258,0.25797475893664523,0.3077380477366909,0.0698046213121224
8,11,4.0,0.4,0.28909834236875986,1.3845278354542696,-0.20880645008766144,0.6719257112416666,0.35130111558537,0.07303942484099779,0.2666490782713413,0.3159073144206872,0.07122637414893118
8,11,4.0,0.42,0.29116595034704584,1.3944298666291588,-0.20880645008766144,0.6719257112416666,0.35130111558537,0.09053011367964436,0.2623723728428051,0.3118936463715807,0.07052999330700249
8,11,4.5,0.38,0.31513402499700294,1.7222010309102842,-0.1829832983147363,0.7565791216333331,0.33306297722443334,0.09398353015634453,0.26369450984776743,0.3035802609771747,0.14334646284937413
8,11,4.5,0.4,0.3108753996032039,1.6989277298329688,-0.1829832983147363,0.7565791216333331,0.33306297722443334,0.05621788105368064,0.2731230515415266,0.3120589743893598,0.14642637794284852
8,11,4.5,0.42,0.3115650868224109,1.7026968564448455,-0.1829832983147363,0.7565791216333331,0.33306297722443334,0.0730924520563343,0.2688281426388812,0.30821267830721233,0.13894938088480546
8,11,5.0,0.38,0.317348965857152,1.793810865186954,-0.17691328111343407,0.7792394042083328,0.2666609826805333,0.10101422976146934,0.27193560777502035,0.3376548291474286,0.15386882479241204
8,11,5.0,0.4,0.31305369811026096,1.7695319206110691,-0.17691328111343407,0.7792394042083328,0.2666609826805333,0.06111942076085364,0.28215954574127866,0.3474995008893025,0.1572292828787909
8,11,5.0,0.42,0.3134543297958985,1.771796485956961,-0.17691328111343407,0.7792394042083328,0.2666609826805333,0.07603462940502359,0.2782484555396536,0.3437524719526204,0.14986337753151524
8,11,5.5,0.38,0.31437374889699243,1.3703538355933433,-0.22941063886676621,0.7968680507333328,0.20297063867566134,0.08564143364344146,0.29037625354948293,0.3509989529447033,0.17564816744891942
8,11,5.5,0.4,0.31003190954871784,1.3514277763237201,-0.22941063886676621,0.7968680507333328,0.20297063867566134,0.044041783660508926,0.3019462411688114,0.3616770703888448,0.17961039122027822
8,11,5.5,0.42,0.31106708778632375,1.3559401138627263,-0.22941063886676621,0.7968680507333328,0.20297063867566134,0.0656005314502337,0.29583740144201953,0.35606335987672244,0.1712640652447539
8,11,6.0,0.38,0.31743628161302184,1.385375341591261,-0.22913377485729622,0.8051711462333331,0.2519803487298855,0.08190120767377174,0.2859313471094156,0.326388847882894,0.16860178537528547
