SMA,ROC,Multiplier,Breadth,Full_Trading_CAGR,Full_Std_MaxDD,Full_Calmar,Return_2022,WFA_CAGR_Std,WFA_CAGR_Min
250,10,2.3,200,0.275047405121535,-0.3420257140443217,0.8041717152468039,-0.02498797012945037,0.18845914753083726,0.2126833962493646
250,10,2.3,240,0.27961272887390143,-0.36362055667585946,0.7689684308006691,0.03441412991711875,0.1773534467984623,0.20703333523802492
250,10,2.3,290,0.2990523751593668,-0.22484230860132254,1.3300538364851486,-0.04881525109036347,0.1470981832188446,0.24939613817579298
250,10,2.3,350,0.25509761135813336,-0.2407156671772986,1.0597466062324967,-0.1508215260253327,0.15503576259570387,0.2030645432727638
250,10,2.7,200,0.2722300083318496,-0.32746110054873817,0.8313354101469278,-0.013308351212195582,0.1919895730049155,0.18079009940696444
250,10,2.7,240,0.27518405305423443,-0.3654401122776107,0.753020929583088,0.043097329931676885,0.1978333244823698,0.17038859055218913
250,10,2.7,290,0.3052914933747044,-0.21124516768523677,1.4451998912921888,-0.058477712381232234,0.16064115333310175,0.21405047231793084
250,10,2.7,350,0.2427630356910231,-0.284245569770329,0.8540609300865308,-0.17672480924948372,0.18044962939669615,0.15710931383263937
250,10,3.0,200,0.2711170259705895,-0.3227748325902526,0.8399571422433663,-0.029407661424840977,0.19676247024579635,0.1861386116957615
250,10,3.0,240,0.27474922815404246,-0.36013668857808356,0.7629026335495732,0.023672179575569063,0.1990601835103309,0.18174338944438162
250,10,3.0,290,0.3172400274994087,-0.19927266857546258,1.5919896580261486,-0.05483361335717907,0.1620103415396405,0.2202938939133139
250,10,3.0,350,0.22985890998984293,-0.3074377137790266,0.747660094021698,-0.20661253853886888,0.19710846670181695,0.12499459366939458
250,10,3.5,200,0.2748735615604494,-0.3018458722568907,0.9106421085212453,-0.03791274548996525,0.20065338433371327,0.20548615150838034
250,10,3.5,240,0.2773788360124818,-0.33274659052268196,0.8336038412197466,-0.0036356837315369857,0.2021989328017847,0.1970483023817602
250,10,3.5,290,0.3241544969385384,-0.2090469059007331,1.550630446032359,-0.04116262016811839,0.16677364176913212,0.23949483346511946
250,10,3.5,350,0.22360403815445729,-0.347613978691074,0.6432538731509848,-0.2403912887433613,0.21268697749089738,0.10407021077178036
250,12,2.3,200,0.2371677517127022,-0.392488695986667,0.6042664518438994,-0.18501591840592188,0.2656728910260227,0.07793111445584877
250,12,2.3,240,0.2527838112421912,-0.39542918028772456,0.6392644342996111,-0.12060910741781007,0.24998436051043604,0.09238263638414645
250,12,2.3,290,0.2868607111417667,-0.3483843268235348,0.8234030323846017,-0.03508139849441239,0.19614318347419152,0.21012555534572908
250,12,2.3,350,0.3106268096388938,-0.21353712673672917,1.4546735473399288,-0.03555967115875386,0.18573584530985265,0.20179290041095688
250,12,2.7,200,0.23886711197649757,-0.4319222438900207,0.5530326704760307,-0.1804490253975763,0.2695027423938412,0.06056148935515315
250,12,2.7,240,0.2522285367809476,-0.41928840846756216,0.6015633432433919,-0.12450795667156193,0.2687861436815272,0.06360400323207616
250,12,2.7,290,0.2982574797543711,-0.34870883618354787,0.8553195353999549,-0.03695600820495825,0.21145609072026764,0.1530742000274854
250,12,2.7,350,0.2995964571190586,-0.23357631409846408,1.2826491345041249,-0.050722012574120026,0.20048403922527858,0.15363097059137987
250,12,3.0,200,0.2349649949137802,-0.45530315481212125,0.5160627428789449,-0.19860570886940812,0.2752998183180083,0.04373683376069892
250,12,3.0,240,0.2495945206621426,-0.45305781046785204,0.5509109762491409,-0.14063889863914267,0.27283324803370657,0.05164130827441049
250,12,3.0,290,0.3134695797521101,-0.3286706722351216,0.9537497751787933,-0.013792216596232993,0.20491844374966675,0.15964309741687033
250,12,3.0,350,0.2951349122530591,-0.2544318151118632,1.1599764444682377,-0.07320257245628045,0.20266730502364624,0.16019545665810386
250,12,3.5,200,0.2338289957321824,-0.4570172316986648,0.5116415301521016,-0.20197836256977997,0.27396738941951654,0.0582717501802783
250,12,3.5,240,0.24516232548559347,-0.4356409227076355,0.5627623868800894,-0.17046164496840033,0.2760858197147499,0.04780762126970495
250,12,3.5,290,0.3135354430757691,-0.3401886080606042,0.9216518003445698,-0.012442464609943596,0.20797221250867126,0.17031731688266305
250,12,3.5,350,0.2895612284159974,-0.2737298370361102,1.0578358265628118,-0.0973094064449193,0.20855494883292225,0.17486199091518717
250,14,2.3,200,0.27452594685250675,-0.2753747462054663,0.9969176572483294,-0.16854850662357349,0.2624968691300298,0.15169058208749764
250,14,2.3,240,0.2831451020155835,-0.2508044395191383,1.128947727394504,-0.11871581661927824,0.2405320638695826,0.17821234954469856
250,14,2.3,290,0.2956312808419663,-0.31091269618851913,0.9508498188273178,-0.041990175000013175,0.21480826676072862,0.185692843136666
250,14,2.3,350,0.32043935714780125,-0.22015084532418105,1.4555445230107624,-0.07694662183223819,0.21248699022838705,0.18118149564850095
250,14,2.7,200,0.268411486100522,-0.2940126962032753,0.9129248143588566,-0.16770862781521925,0.2751501278330679,0.09544801406523451
250,14,2.7,240,0.27663212609172083,-0.27682178520048545,0.9993148692808723,-0.12034188566471217,0.2656453483268413,0.12787988753808066
250,14,2.7,290,0.307685957093371,-0.2927365301099936,1.0510678560607392,-0.04208538085424048,0.2363323365688743,0.14015109010677707
250,14,2.7,350,0.3113217962783683,-0.22071262697067945,1.410530065956425,-0.09493867444179614,0.239515216366095,0.14071671743812408
250,14,3.0,200,0.2660521773175648,-0.3100490083581475,0.8580971722065288,-0.18151144118392484,0.28428918778309664,0.12207815057581772
250,14,3.0,240,0.2748033151918461,-0.2857866551495528,0.9615680446941823,-0.1331070863256905,0.2762640541195299,0.15367192360297888
250,14,3.0,290,0.3192665781869992,-0.2790144399996221,1.1442654300882478,-0.026302515203612566,0.23835572754285586,0.16556521291422377
250,14,3.0,350,0.30344556506515374,-0.24555827092986585,1.2357375050576942,-0.11870825706926184,0.24927840324744266,0.16611364624448033
250,14,3.5,200,0.265052343382171,-0.3181671876017161,0.833059956245285,-0.18913074761007376,0.2865893312649102,0.14650791762808701
250,14,3.5,240,0.27299200419010305,-0.2959055300248635,0.9225647258676271,-0.15519707668903548,0.27909876727180344,0.17716072352851087
250,14,3.5,290,0.32213796633342384,-0.28010571662564415,1.1500585215258388,-0.015132460253018128,0.2381194443856047,0.1893871677527421
250,14,3.5,350,0.29624291202295083,-0.26447971032960427,1.1200969316465226,-0.14380123557714444,0.2536021213278838,0.19383053663951544
250,16,2.3,200,0.2977926406346254,-0.21704584832332416,1.3720264309825274,-0.14477355549933388,0.2874467698253579,0.07682128742201555
250,16,2.3,240,0.30889618987945133,-0.20557538203695586,1.5025932911749216,-0.09428335195884893,0.27267091785183495,0.0918474356240675
250,16,2.3,290,0.28068933065482105,-0.30755249046345484,0.9126550405488398,-0.0544549084431837,0.2811652121635206,0.10683087946664238
250,16,2.3,350,0.3325961655796972,-0.2642603469028804,1.258592783509556,-0.023545176853726278,0.25994684582981425,0.09737765690593947
250,16,2.7,200,0.28544162575233933,-0.24628681723038726,1.1589805291337416,-0.1519977033407023,0.28265351606265765,0.044587286204378795
250,16,2.7,240,0.2958850296175939,-0.26507817816143137,1.1162179839541575,-0.10475457935829285,0.2873900878178484,0.06463724765642542
250,16,2.7,290,0.2947011926406875,-0.316632457091633,0.930735892800154,-0.06320976080230607,0.2899053040645671,0.0847873347395991
250,16,2.7,350,0.3220111046064773,-0.26066675736325107,1.2353362886151995,-0.03893164691307151,0.2666834829364014,0.08539379148683213
250,16,3.0,200,0.28317968495538937,-0.2811004447736489,1.0073967872353056,-0.16839729733830694,0.2897708857505479,0.06097886765482019
250,16,3.0,240,0.2915862043377524,-0.31436131386740007,0.92755116954609,-0.12352417972415551,0.29795548423503837,0.08060565389912844
250,16,3.0,290,0.308291252177298,-0.3062127926712292,1.0067876312022679,-0.04381781823486285,0.28988013388978034,0.10034878855240725
250,16,3.0,350,0.31301197791894153,-0.29584551729853736,1.0580250827430369,-0.04844862598490423,0.2711589670052819,0.1009432705449802
250,16,3.5,200,0.2826616562083424,-0.2708535378896765,1.0435959537788115,-0.1760522717710555,0.2871703860761931,0.08341906213082395
250,16,3.5,240,0.2890357695472685,-0.30549744058809014,0.9461151916391427,-0.14641233754596328,0.2988058077619267,0.10319001461753174
250,16,3.5,290,0.311514284684578,-0.30814993829737086,1.0109178875900358,-0.03007083545686996,0.28436805988247604,0.13385777652046094
250,16,3.5,350,0.30662991501727266,-0.29977465673861514,1.0228680381231656,-0.06548944231329655,0.2687544242796735,0.13860749655866655
303,10,2.3,200,0.3243339481320602,-0.15912021380922076,2.0382950749483317,-0.03988153867196287,0.17553531861401997,0.18692110990475186
303,10,2.3,240,0.334473424726069,-0.1581488746472357,2.11492763051359,0.009054064523803826,0.16231346646432473,0.2101838397131235
303,10,2.3,290,0.33818021199894055,-0.1583276657749294,2.135951479760211,0.040265635915650536,0.1565489820325277,0.21064931335448667
303,10,2.3,350,0.2683600157002284,-0.22618918617115,1.1864405201810537,-0.09847116289981454,0.1503051516039546,0.20030473541076432
303,10,2.7,200,0.33192391581055936,-0.1303073187585864,2.5472392416077376,-0.028914986128097325,0.18231221757464405,0.14510513840288497
303,10,2.7,240,0.3451773398640783,-0.13029678312357731,2.649162408995945,0.045295582137592924,0.1748602085155335,0.17131660194375686
303,10,2.7,290,0.3504912365236752,-0.12637297787969926,2.77346662557343,0.06780872235739695,0.175517672144675,0.17461715139748635
303,10,2.7,350,0.2556055522327807,-0.270798432207099,0.9438959825192075,-0.12999165645218552,0.17149984484432815,0.1751596756149143
303,10,3.0,200,0.3304109083221387,-0.15508212843670832,2.1305543820736577,-0.03534532944956457,0.18209955941678901,0.1518778740327016
303,10,3.0,240,0.343244387355935,-0.15605192036234317,2.1995524730419347,0.040436105360419174,0.17075609531193983,0.17787937548090937
303,10,3.0,290,0.3480125539645835,-0.1513119220293206,2.2999678366199534,0.05864665093867145,0.1702700256023404,0.1811542740200256
303,10,3.0,350,0.24333274229729018,-0.29855776206116935,0.8150273522194861,-0.15656283453426337,0.18458663743525444,0.17696328539615824
303,10,3.5,200,0.32367826965784996,-0.1787118897026787,1.811173672867264,-0.04398461310053539,0.1846828963565467,0.17202000524911032
303,10,3.5,240,0.33732248750278404,-0.1787118897026787,1.887521239151935,0.03263255874878228,0.17080782718990575,0.19803665591172215
303,10,3.5,290,0.3421902045653129,-0.1733112137999563,1.974426218953636,0.05111109651511893,0.16876441211000884,0.20123486198543206
303,10,3.5,350,0.23657583362316137,-0.3413114886405464,0.6931376220749258,-0.19496769861150615,0.19849683679809796,0.15376001647050286
303,12,2.3,200,0.3078673463469195,-0.1316918810850915,2.3377853198709633,-0.044944648253955354,0.23118238518021852,0.15627173861159682
303,12,2.3,240,0.3198004573461324,-0.11194110997234608,2.8568633759763133,-8.058188632601495e-05,0.21525195841358252,0.18108875146247994
303,12,2.3,290,0.32290681045623004,-0.11205570219015167,2.881663352644714,0.023917839853840803,0.20595270156260592,0.19044990862911781
303,12,2.3,350,0.3128463828696093,-0.21353712673672917,1.4650678673564759,-0.01738896468560864,0.18957230763468064,0.18192199074820836
303,12,2.7,200,0.3137054561164674,-0.11214942684322146,2.797209624218676,-0.02517521654101116,0.23833414319157675,0.08934219726158599
303,12,2.7,240,0.3292120687395754,-0.11214021063718503,2.9357183018382047,0.04486203702363195,0.22863643831000272,0.11855355480753671
303,12,2.7,290,0.33396089523652583,-0.10870950121167311,3.0720488229106646,0.06020192412718287,0.2260445062174914,0.1330094899413563
303,12,2.7,350,0.3010429060590496,-0.2337840804270587,1.2876963457440203,-0.04068520533856082,0.20489774935506463,0.133580115848146
303,12,3.0,200,0.3120606102044645,-0.14060161853500835,2.2194666992881356,-0.03356880679848355,0.23023405660177154,0.09645167834000268
303,12,3.0,240,0.3271382595894208,-0.14139709291094502,2.313613758632645,0.039435922618303185,0.2172379219883176,0.12540618451195118
303,12,3.0,290,0.33130509015680976,-0.13750012179056084,2.4094894305726595,0.05067826188375089,0.21422634001402252,0.13974080466657735
303,12,3.0,350,0.29645779215334955,-0.26011705799152746,1.1397091541878264,-0.06284005649659605,0.206345546684064,0.14030671713297127
303,12,3.5,200,0.3042079142590912,-0.15639461860252574,1.9451303182766821,-0.04578488834556665,0.23144297013731896,0.10559336736802427
303,12,3.5,240,0.32016802882398343,-0.15639461860252574,2.0471805979314737,0.028060762546748896,0.21675962708447308,0.13489538877029106
303,12,3.5,290,0.32442070554200675,-0.1520485822290118,2.1336647852024844,0.039550073831141265,0.21278866179804456,0.1506741312761377
303,12,3.5,350,0.2904186812617171,-0.283645869517116,1.0238777027006642,-0.09141471687193369,0.212462570778767,0.15532735354643457
303,14,2.3,200,0.31675282494579693,-0.13600433837709744,2.3289905948995577,-0.04840767262535197,0.25007283047082646,0.170648908761021
303,14,2.3,240,0.32418028371708285,-0.13229807769540206,2.4503778842763153,-0.013368983901709488,0.23057201361992724,0.19522212364244718
