ROC,ATR_P,ATR_M,MKT_T,MKT_S,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,10,2.0,0.4,10,0.24063025195808874,-0.15572735478454616,1.5452022047828944,0.6455145858471858,4.816327563198664,0.49045774964092903,3.6089108958645766,-0.05478886536297689,-0.46485568890951684,0.0020278723128011045,0.013587167772572847,0.35135955043568434,2.2562481133889527,0.22197399274328244,3.169339336000259
12,10,2.0,0.4,14,0.24205840961015657,-0.1542771262357381,1.5689844341557617,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,-0.04757584524304792,-0.4303151586867198,0.0020060968730850615,0.014142863467049127,0.34758767290892956,2.2530084750075625,0.2201970426323927,3.168054862455212
12,10,2.0,0.4,20,0.2447550845875226,-0.1499992792402446,1.6317084043818202,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,-0.021748631324585377,-0.25537266021932387,0.00796814463716089,0.06154867943212003,0.33652429897313985,2.2435061066803503,0.20580782587753643,3.0301256670188232
12,10,2.0,0.45,10,0.24768212100968912,-0.14931342420984492,1.658806783920493,0.6693397033347894,5.0422483774786935,0.4855573942349465,3.6073046553321566,-0.0141253397940857,-0.15018590906643012,0.0019320379677278954,0.014992273773536381,0.33475921158244026,2.241990051155548,0.2173798475274571,3.212406064185842
12,10,2.0,0.45,14,0.2480884419795477,-0.14836022109286903,1.67220323717536,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,-0.003250217581383996,-0.03885907821665056,0.0019178990892894099,0.014978177876198073,0.33231004511662343,2.239886424195926,0.21289824256460466,3.1627787523855866
12,10,2.0,0.45,20,0.24815223253614738,-0.1467761084660907,1.6906854605255959,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,0.003358770906874753,0.04308744586175654,0.007771035114729763,0.0613442986121944,0.3282499623479642,2.23639913728738,0.20198024786896718,3.0273597786450948
12,10,2.0,0.5,10,0.23583103484942836,-0.15482738428840742,1.523186844067132,0.6693397033347894,5.0422483774786935,0.4855573942349465,3.6073046553321566,-0.05487555045786141,-0.40914286439299574,0.0020143517141677503,0.013546833611844946,0.349017555261526,2.2542365930008055,0.1890274609406235,2.7117156348398086
12,10,2.0,0.5,14,0.23867158876808037,-0.15380272159611139,1.5518034160334049,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,-0.04414851507497408,-0.35646298149489697,0.0019989871988066454,0.01443576978300505,0.34635615038201806,2.251950724848389,0.19796100278696205,2.8553092069790034
12,10,2.0,0.5,20,0.2425948846926338,-0.15210091941960252,1.5949600148266334,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,-0.03754273702646882,-0.32941337758263595,0.008097377115637627,0.0616826792437242,0.34194788158742395,2.2481644614132046,0.2082914434280998,3.0319203464569378
12,10,3.0,0.4,10,0.3118991785082663,-0.12828171592409254,2.431361135618304,1.2037933119182607,10.631166181160346,0.49431971039244105,4.289731127335902,-0.045401925138358945,-0.35392358771708654,0.12514038847754172,1.0069807032840263,0.2864864150118973,2.7067501271169747,0.2597253196010494,3.179192064789943
