ROC,ATR_P,ATR_M,REB,MKT_T,MKT_S,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,10,2.0,5,0.42,14,0.23958576493067474,-0.2146511826330221,1.116163265404794,0.7740487870048169,5.529300622288167,0.28630686513303516,1.3338238421100108,-0.03645789305059621,-0.25011348452245696,0.19587335359845226,1.5669820666475822,0.3277642383723187,1.9758729270594682,0.11253645397324696,0.8476599118303789
12,10,2.0,5,0.42,20,0.2459159625228271,-0.2146511826330221,1.1456538906811278,0.7740487870048169,5.529300622288167,0.28630686513303516,1.3338238421100108,-0.02998449434249839,-0.22716475383311155,0.20191311172864945,1.6318936869797094,0.3239648235409407,1.9730312944467945,0.13559993703386009,0.9590946616928155
12,10,2.0,5,0.45,14,0.23499437619206498,-0.21799939313117653,1.0779588549159955,0.7347971071458961,5.148332488516695,0.29078065119383134,1.3338599113386533,-0.06093361063425429,-0.35737103012971927,0.2033827352166695,1.454491012542023,0.33829208602952465,1.9837467472640888,0.11523026702940653,0.8476664521712979
12,10,2.0,5,0.45,20,0.2429649397076128,-0.2146511826330221,1.131905898338316,0.7740487870048169,5.529300622288167,0.28630686513303516,1.3338238421100108,-0.0537269109649926,-0.3472065627733649,0.20692609941071294,1.6426054868141606,0.3306829269822562,1.9780558403217592,0.1377077290085993,0.9591003727702824
12,10,2.0,9,0.42,14,0.24881821843809804,-0.1476659977619387,1.6850068547211048,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,0.0021848925971912347,0.02790451235301674,0.0019076183841044703,0.014967928423556952,0.33052919274966186,2.238356817136251,0.2120366990263547,3.1621559491639086
12,10,2.0,9,0.42,20,0.24888183308140377,-0.14609659714246886,1.7035429842264014,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,0.008794297928789607,0.11281621950556267,0.007729647296792708,0.06130138401170069,0.32651224470816786,2.2349065693142958,0.2011704268001262,3.026774576535154
12,10,2.0,9,0.45,14,0.2480884419795477,-0.14836022109286903,1.67220323717536,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,-0.003250217581383996,-0.03885907821665056,0.0019178990892894099,0.014978177876198073,0.33231004511662343,2.239886424195926,0.21289824256460466,3.1627787523855866
12,10,2.0,9,0.45,20,0.24815223253614738,-0.1467761084660907,1.6906854605255959,0.6570163085625722,4.9249874990644384,0.4880773723598546,3.608130681594832,0.003358770906874753,0.04308744586175654,0.007771035114729763,0.0613442986121944,0.3282499623479642,2.23639913728738,0.20198024786896718,3.0273597786450948
12,10,2.0,14,0.42,14,0.18791411329459962,-0.215422314569642,0.8723057018025424,0.753385710917206,8.21138642096709,0.16196220181180165,0.8542390906408142,-0.12837255895073518,-0.7676103278162293,0.29946341796232345,1.3901225532766825,0.07637439050135986,0.5452266588801002,0.263439338098836,2.3640164814465465
12,10,2.0,14,0.42,20,0.1977677763282275,-0.223717905053899,0.8840051326270936,0.753385710917206,8.21138642096709,0.16196220181180165,0.8542390906408142,-0.1371569983968851,-0.7813779347305612,0.3024820268205668,1.3520689224570186,0.07697089200347507,0.5457068014212625,0.33486259671160234,3.145089205874566
12,10,2.0,14,0.45,14,0.18609241129545562,-0.22430101988188256,0.8296547710458576,0.7393679423208863,8.010981162895622,0.1628713792421097,0.854270396716368,-0.1373392085956363,-0.7808228745511141,0.30402919676589346,1.3554516913297852,0.07727558797028133,0.5459520605780436,0.26638115458800504,2.3702779277581345
12,10,2.0,14,0.45,20,0.19666961583778608,-0.23155421873523693,0.8493458547721884,0.753385710917206,8.21138642096709,0.16196220181180165,0.8542390906408142,-0.14545414089336206,-0.7932339491223344,0.30538993745786014,1.3188701079424006,0.07754299051477975,0.5461673010743114,0.337217963538053,3.1512089040115336
12,10,2.5,5,0.42,14,0.2651411082910957,-0.1967907554157873,1.347325019058416,0.8644149593782788,5.8501775346188944,0.35106132066618345,1.7839319734529562,-0.037127200146300554,-0.24131097281993413,0.19811106011929902,1.5730485497580824,0.36739390010104356,2.2670869380640184,0.11571736134468136,0.9720663963622224
12,10,2.5,5,0.42,20,0.2716330996581533,-0.1967907554157873,1.3803143297266993,0.8644149593782788,5.8501775346188944,0.35106132066618345,1.7839319734529562,-0.025969727769354023,-0.1840342022314092,0.20258438804240786,1.6300532376062817,0.3618689875167993,2.262820000968176,0.1363665202910298,1.0785694944885025
12,10,2.5,5,0.45,14,0.2608256618179612,-0.19882327071575814,1.3118467515346477,0.825977515296072,5.487544132458677,0.35617639525143985,1.7914220703100543,-0.061190504505865606,-0.34427053577267897,0.20534055358877534,1.4615043103765275,0.37860303165401765,2.2757437146993573,0.11827265557746336,0.9720904533357073
12,10,2.5,5,0.45,20,0.26876221912524656,-0.1967907554157873,1.365725836853439,0.8644149593782788,5.8501775346188944,0.35106132066618345,1.7839319734529562,-0.049380240585615076,-0.3026121652144489,0.2075210834491028,1.640608473869216,0.36922727802571265,2.268502861995255,0.1383874042700517,1.0785881358201277
12,10,2.5,9,0.42,14,0.2973199571695577,-0.11524653041928148,2.5798603748665583,1.2193459006088099,10.942391246936195,0.446611882926929,3.8752740000249757,0.004469694277033032,0.04816901528443775,0.045924373720420464,0.44589590715852556,0.27803518775983305,2.5410196980601514,0.24968338606013885,4.034335256029108
12,10,2.5,9,0.42,20,0.2963895546475763,-0.11524653041928148,2.571787224910577,1.2193459006088099,10.942391246936195,0.446611882926929,3.8752740000249757,0.013288486421288548,0.1432074020863421,0.04397874095971366,0.42965522635058395,0.2761472632319506,2.5394290032250244,0.23784377711542137,3.8628286541475267
12,10,2.5,9,0.45,14,0.29671058015155816,-0.11524653041928148,2.574572779519587,1.2193459006088099,10.942391246936195,0.446611882926929,3.8752740000249757,-5.951545119142754e-05,-0.0006203393779188382,0.0461300275447889,0.44615670813973884,0.2792273372290177,2.542024155441648,0.25052373661884575,4.035005211009759
12,10,2.5,9,0.45,20,0.29577810569559637,-0.11524653041928148,2.566481651287185,1.2193459006088099,10.942391246936195,0.446611882926929,3.8752740000249757,0.008758814970185602,0.0943920246045308,0.04417397779610566,0.42990026010162175,0.27732324396506414,2.5404198415147627,0.23863996950805388,3.863463142143352
12,10,2.5,14,0.42,14,0.24048886420136273,-0.22275291268995964,1.079621636804763,1.0119702608870833,8.22510132653508,0.01192529305451262,0.06702316515561688,-0.09291515992639365,-0.5214814346530391,0.3577094156593583,1.6058574109746386,0.2765543776899655,2.085727073833848,0.29221762648351945,3.4120627308620644
12,10,2.5,14,0.42,20,0.2478436495563976,-0.23217364969781837,1.0674925853083426,1.0119702608870833,8.22510132653508,0.01192529305451262,0.06702316515561688,-0.10343495437102601,-0.5513704039677936,0.361866214964222,1.5586015701402927,0.27893652401871716,2.0876961875449154,0.34617670801319544,4.1793452213427
12,10,2.5,14,0.45,14,0.23994079478738772,-0.23105943177950508,1.0384375696740997,1.027757372544797,8.407004696986686,0.011860886903652945,0.06702313437675832,-0.10290137254992082,-0.55115822308319,0.3596926930536182,1.5567107141372396,0.27769270697275283,2.086668032930176,0.2931740644959535,3.41469930499595
12,10,2.5,14,0.45,20,0.24672938715999293,-0.2416173980432365,1.0211573717710578,1.0119702608870833,8.22510132653508,0.01192529305451262,0.06702316515561688,-0.11397900336914135,-0.5784565232020468,0.36613125436258276,1.5153348116805105,0.2813660349958649,2.089704444993714,0.348568080340387,4.1870326976592365
12,10,3.0,5,0.42,14,0.2873943910335741,-0.1687176641761096,1.7034042786035035,0.9181831763656874,7.105101271979404,0.3967368562207174,2.351483812664681,-0.03366015859510141,-0.26185129793584916,0.2541921749384235,1.9769393740342291,0.3232764717440675,2.0148147146156745,0.15397901132930936,1.3970784624133856
12,10,3.0,5,0.42,20,0.29337979360304,-0.1687176641761096,1.7388801287386633,0.9181831763656874,7.105101271979404,0.3967368562207174,2.351483812664681,-0.0230763785387037,-0.19860143160271593,0.25782492129186285,2.0293018420963556,0.31888027794387797,2.0113111349817805,0.17292611300165328,1.4754645534173825
12,10,3.0,5,0.45,14,0.2828197991582899,-0.17112224329870362,1.652735458035177,0.8794423482886156,6.68049867127056,0.4024041936883209,2.3515598319144373,-0.061383728710197594,-0.39297616760717735,0.2643164902560837,2.000527789241236,0.33353694422251356,2.022991777095194,0.15764716368430398,1.3972422165407252
12,10,3.0,5,0.45,20,0.2901437723698168,-0.1687176641761096,1.719700031331403,0.9181831763656874,7.105101271979404,0.3967368562207174,2.351483812664681,-0.05017925235836718,-0.35262548774999214,0.26510692644186484,2.046520401333948,0.32605193817042344,2.0170266303935662,0.1758617705346659,1.475587829377898
12,10,3.0,9,0.42,14,0.320064397796763,-0.11479896828692257,2.7880424586814287,1.2162529473022894,10.78668553346618,0.4923729766635343,4.289001756818257,-0.0009561876453139107,-0.010146476459728812,0.11931487838027754,1.317840062660871,0.27454685895825603,2.696604318213742,0.26247638938528306,3.833064820145022
12,10,3.0,9,0.42,20,0.31978459238064416,-0.11479896828692257,2.7856051073681356,1.2162529473022894,10.78668553346618,0.4923729766635343,4.289001756818257,0.012112930213282302,0.12853498146491768,0.11628342332902797,1.2963681781196401,0.27176473733140827,2.6942401308772523,0.25079453108779615,3.6907276791153083
12,10,3.0,9,0.45,14,0.3195031209115773,-0.11479896828692257,2.7831532432680737,1.2162529473022894,10.78668553346618,0.4923729766635343,4.289001756818257,-0.00535006302766039,-0.05598356011999642,0.11983622266535754,1.3188892119284334,0.27562034256688084,2.6975165375595584,0.2632840586262113,3.833627427006087
12,10,3.0,9,0.45,20,0.31922275235245423,-0.11479896828692257,2.780710986483829,1.2162529473022894,10.78668553346618,0.4923729766635343,4.289001756818257,0.007718388859801584,0.08190280564365555,0.11678499922487062,1.2973706933062323,0.2728165338356059,2.6951339267755605,0.2515600462397878,3.691260717209262
