roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
10,7,10,4.0,0.35,14,0.3039510569265522,1.495049984064207,0.8112006663166662,0.1394376996129425,0.02147881475169333,0.07343525807539963,0.5288389932070192,0.31920857985588236
10,7,10,4.0,0.35,20,0.30478075229036716,1.521625491723902,0.8112006663166662,0.1394376996129425,0.04136315770449839,0.07202179707063339,0.5192624308278275,0.3080368604901391
10,7,10,4.0,0.38,14,0.303394137142456,1.5158903981662397,0.8112006663166662,0.1394376996129425,0.0494608784431001,0.056289023002647376,0.5187641924153008,0.29926692652424314
10,7,10,4.0,0.38,20,0.3068786161543646,1.5547730508660316,0.8112006663166662,0.1394376996129425,0.06831222397220937,0.055295751748880795,0.510016676386182,0.30435846260535593
10,7,10,4.0,0.4,14,0.29880994166501007,1.4455613775150589,0.8112006663166662,0.1394376996129425,0.006701682566507383,0.05867987364087823,0.5397627999068402,0.3072379986574638
10,7,10,4.0,0.4,20,0.3023524597139944,1.4838550822611731,0.8112006663166662,0.1394376996129425,0.02555302809561666,0.05760124138754352,0.5302992443281389,0.3123710593194866
10,7,10,4.0,0.42,14,0.3015468234833698,1.481479621216748,0.8112006663166662,0.1394376996129425,0.02696320712574929,0.05752214599040495,0.5296046438623798,0.30659580294088995
10,7,10,4.0,0.42,20,0.3017268423795998,1.4684246883146441,0.8112006663166662,0.1394376996129425,0.014516578475159303,0.0582278582532878,0.5357989606034348,0.31771990960337737
10,7,10,4.3,0.35,14,0.3049531576554647,1.5413462946276149,0.8795070670666665,0.13512004966546587,0.021834804212994552,0.07006180657793748,0.4924337646479826,0.3174216106035328
10,7,10,4.3,0.35,20,0.3057798523770874,1.5681749465751995,0.8795070670666665,0.13512004966546587,0.04109168387734474,0.0687558179600285,0.4837734941200469,0.3063346639602109
10,7,10,4.3,0.38,14,0.3041780508563139,1.5588007397075576,0.8795070670666665,0.13512004966546587,0.04692160020039182,0.05366420427613483,0.4842117037520546,0.2979890479017231
10,7,10,4.3,0.38,20,0.30765271996233357,1.5982122094836764,0.8795070670666665,0.13512004966546587,0.0651780793421346,0.05274443372788018,0.4762637472557314,0.3030727392406236
10,7,10,4.3,0.4,14,0.29960699149144654,1.4876520534772617,0.8795070670666665,0.13512004966546587,0.005511698374907059,0.055874252587068574,0.5032614318434239,0.3058901011124511
10,7,10,4.3,0.4,20,0.30313933523748227,1.5264794712205916,0.8795070670666665,0.13512004966546587,0.023768177516649835,0.05487786771272063,0.4946813416518758,0.3110157343927529
10,7,10,4.3,0.42,14,0.3020413723674997,1.5225372959377803,0.8795070670666665,0.13512004966546587,0.025133857436419493,0.054804759599637265,0.49405125234812775,0.3035779201067961
10,7,10,4.3,0.42,20,0.30222106855449504,1.5094301817930287,0.8795070670666665,0.13512004966546587,0.013079990194230895,0.055456839694840276,0.499668662963068,0.31462865951051944
10,7,10,4.5,0.35,14,0.3061020453363421,1.5569282755750842,0.8839533050166666,0.13771723413384307,0.026527493696228976,0.06817635999105276,0.4909184608677353,0.3153234878397493
10,7,10,4.5,0.35,20,0.3069253160223968,1.583853084311962,0.8839533050166666,0.13771723413384307,0.04569582108275205,0.06691701860973787,0.4823487557093067,0.30433397253391936
10,7,10,4.5,0.38,14,0.3053301601513292,1.5744574968783804,0.8839533050166666,0.13771723413384307,0.0514989286819072,0.05198431654596325,0.48278243729367953,0.296041667140271
10,7,10,4.5,0.38,20,0.30879047202514553,1.6139880336862384,0.8839533050166666,0.13771723413384307,0.069671455862518,0.05110116088146488,0.47491570347382694,0.301114292448061
10,7,10,4.5,0.4,14,0.3007783234317096,1.5030704520706077,0.8839533050166666,0.13771723413384307,0.010279449250660377,0.05410528066950593,0.5016297026509433,0.30383843884951567
10,7,10,4.5,0.4,20,0.30429577894143733,1.542019635482519,0.8839533050166666,0.13771723413384307,0.028451976431271175,0.05314925189411013,0.49314216249586584,0.30895363684633104
10,7,10,4.5,0.42,14,0.302561538254986,1.5280389877688059,0.8839533050166666,0.13771723413384307,0.024011508882937793,0.05337972540559566,0.49518947139145775,0.30267467863521924
10,7,10,4.5,0.42,20,0.30274089577259455,1.5149063359838446,0.8839533050166666,0.13771723413384307,0.012013071046734103,0.05401259600313679,0.5008074230894686,0.31368536993581997
10,7,10,5.0,0.35,14,0.30887248521437094,1.6703837878923111,0.8839533050166666,0.1445056709512602,0.025372597987979972,0.08566988653683438,0.4924857142850483,0.3014994415818426
10,7,10,5.0,0.35,20,0.3096875694618706,1.6747917671651975,0.8839533050166666,0.1445056709512602,0.04442574366472862,0.08409506233567843,0.48406723517313033,0.29091486589978244
10,7,10,5.0,0.38,14,0.30821687342967685,1.666838236414833,0.8839533050166666,0.1445056709512602,0.05118947368682503,0.06894404700511836,0.4840607063775191,0.28262622383773994
10,7,10,5.0,0.38,20,0.31164152450611327,1.6853587648241444,0.8839533050166666,0.1445056709512602,0.06925280288112345,0.06777934674556807,0.47634130724427703,0.2877312103232874
10,7,10,5.0,0.4,14,0.3037127687841621,1.6302093790416894,0.8839533050166666,0.1445056709512602,0.010217680452770272,0.07174023766112314,0.5025328318057913,0.28989569387329484
10,7,10,5.0,0.4,20,0.30719325641845674,1.6613025110187487,0.8839533050166666,0.1445056709512602,0.0282810096470687,0.07048001062474607,0.4942180950237085,0.2950490045672538
10,7,10,5.0,0.42,14,0.3068463948082989,1.6594266818724661,0.8839533050166666,0.1445056709512602,0.023867224689975597,0.07078384260917714,0.49622430075428325,0.2966354826146318
10,7,10,5.0,0.42,20,0.3070229917573368,1.6501720926382983,0.8839533050166666,0.1445056709512602,0.011940884985065736,0.07161807330891667,0.501727570444203,0.30734392193044635
10,7,15,4.0,0.35,14,0.3014509801372536,1.4981555509675875,0.7844472430583334,0.14661604626468772,0.03883272173403807,0.07522309886989431,0.5107187987025581,0.3065225791134376
10,7,15,4.0,0.35,20,0.30228821924630256,1.5246744751605354,0.7844472430583334,0.14661604626468772,0.05887792720676832,0.07378775453894582,0.5015662818484703,0.2954895920500853
10,7,15,4.0,0.38,14,0.300888981144779,1.5187973478265475,0.7844472430583334,0.14661604626468772,0.06704115776718123,0.05816167229771696,0.5010900093758206,0.2867162268196932
10,7,15,4.0,0.38,20,0.30440503404694774,1.5578902560592536,0.7844472430583334,0.14661604626468772,0.08604500896132516,0.05714394673714818,0.492726602532332,0.2919564634589169
10,7,15,4.0,0.4,14,0.29626249619210876,1.4483240843802507,0.7844472430583334,0.14661604626468772,0.023936043897973658,0.06061013138083715,0.5211546317572455,0.2943632618965675
10,7,15,4.0,0.4,20,0.2998377696709966,1.486827020571711,0.7844472430583334,0.14661604626468772,0.04293989509211782,0.059505728410887526,0.51211408305415,0.2996527640660809
10,7,15,4.0,0.42,14,0.29902472948326153,1.4843638303500033,0.7844472430583334,0.14661604626468772,0.04436148234191695,0.059424729076625216,0.5114503956038201,0.29388089667212514
10,7,15,4.0,0.42,20,0.2992064050885479,1.4714133318624698,0.7844472430583334,0.14661604626468772,0.03181416160137163,0.06014736030557377,0.5173683859747806,0.3049216341257617
10,7,15,4.3,0.35,14,0.30803275215681425,1.5545126386283257,0.7956979042749992,0.17153849404885158,0.03519713258625434,0.0710205747665551,0.5108384871677483,0.316615743082592
