sma,roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
150,10,10,3.0,5,0.42,14,0.28669011296155,1.5449010458252643,0.5855203590499987,0.23042813724376776,-0.14891612396711928,0.21558805006873993,0.4790609914370778,0.3861878103015062
150,10,10,3.0,5,0.42,20,0.29010720550031377,1.5529294916589282,0.5352040390999988,0.23765407591761623,-0.13561744818443466,0.21767098139629049,0.48287066232677556,0.4151539339408086
150,10,10,3.0,5,0.45,14,0.2817887669220043,1.363455201471559,0.5268371862499988,0.2388998171540746,-0.17116064110847629,0.2279696948183778,0.5015189779219507,0.39823688871366825
150,10,10,3.0,5,0.45,20,0.28830715680006236,1.5213794665620173,0.5352040390999988,0.23765407591761623,-0.15334980394112374,0.2222299117526454,0.49116407781518046,0.419932487786572
150,10,10,3.0,9,0.42,14,0.27737736849176264,0.9347082359625631,0.22877009678333327,0.40849146346685483,-0.08050083188877821,0.3891161434415922,0.4282391627997433,0.3288672598399882
150,10,10,3.0,9,0.42,20,0.27969175759387355,0.9425072808764574,0.22877009678333327,0.40849146346685483,-0.1040150257144522,0.3993280919453943,0.4362824470956146,0.3606730799149833
150,10,10,3.0,9,0.45,14,0.27151306087455684,0.8737881548822175,0.16474334109999966,0.4309252609359493,-0.11013707607968237,0.41755933988294847,0.45035493192312726,0.34075669282973164
150,10,10,3.0,9,0.45,20,0.2773355231309702,0.9345672251671179,0.22877009678333327,0.40849146346685483,-0.12956715948750774,0.4110506331338908,0.4453725235790711,0.36595123285469366
150,10,10,3.0,14,0.42,14,0.29777492981648424,1.4255899447720801,0.49721443985833336,0.3667119208401939,-0.06577426981219858,0.32244302478799414,0.31331892197093447,0.3901781118804517
150,10,10,3.0,14,0.42,20,0.3013387871058444,1.4654494106073674,0.49721443985833336,0.3667119208401939,-0.062269111250549014,0.32123776009794347,0.31242410010976407,0.4093206266564271
150,10,10,3.0,14,0.45,14,0.2978500451430661,1.3766114205018178,0.5199892135583333,0.3612065845367496,-0.0754361980777768,0.3221854429355311,0.313127819098479,0.3899966337566805
150,10,10,3.0,14,0.45,20,0.3002933012814386,1.394291846104885,0.49721443985833336,0.3667119208401939,-0.07278030731375928,0.3248793922870892,0.3151229232601913,0.4120128917480148
150,10,10,4.0,5,0.42,14,0.2892841745625956,1.621502701058758,0.6332970077249989,0.2539766549656457,-0.13205872177733802,0.19632800015026763,0.4045433611403224,0.39281567892865765
150,10,10,4.0,5,0.42,20,0.29266875957428606,1.6301306782235923,0.582980687774999,0.26171075558679124,-0.11898479481084179,0.19810043298415314,0.4075760386093006,0.42161753657544243
150,10,10,4.0,5,0.45,14,0.28389492352623225,1.4678184601389466,0.5643932619749983,0.2646883200623509,-0.1535289829264873,0.20804680999340053,0.4244252133253472,0.40635971486708655
150,10,10,4.0,5,0.45,20,0.2908848511734279,1.5983550858862288,0.582980687774999,0.26171075558679124,-0.135881616199248,0.20197405458027862,0.4141719666970236,0.42643918882872445
150,10,10,4.0,9,0.42,14,0.30930206242484415,1.2095645645115551,0.39885313420833346,0.3940791927499361,-0.0732933835325702,0.38597906028746487,0.4291319462070422,0.34013616499388344
150,10,10,4.0,9,0.42,20,0.30907270159455247,1.208667620176193,0.39885313420833346,0.3940791927499361,-0.11889914982120997,0.4059573304391806,0.444844779611957,0.37315632088076867
150,10,10,4.0,9,0.45,14,0.3044162118305638,1.1416357402223483,0.33482637852499986,0.412966114253992,-0.09575167848097899,0.4090229098576619,0.44721588952295366,0.35017215694102455
150,10,10,4.0,9,0.45,20,0.30727448583251893,1.2016354715766977,0.39885313420833346,0.3940791927499361,-0.13820706094624524,0.4150525407866721,0.45184920831612607,0.37725754270338974
150,10,10,4.0,14,0.42,14,0.3040522848495264,1.2854713606773793,0.55250635235,0.23743684499481565,-0.021574970639764435,0.30284075084094053,0.40061244422522124,0.38487548702167884
