Period,Trading_CAGR,Auth_CAGR,Std_MaxDD,Fixed_MaxDD,Calmar
2024-06-01 - 2025-12-31,0.6855893805401803,0.15528983120930118,-0.25116853187275556,-0.05746754127500003,2.729599028303062
2024-01-02 - 2025-05-31,0.9653479114504888,0.21633815262043532,-0.1013332556216168,-0.036099513403333325,9.52646695824265
2023-01-02 - 2024-12-31,0.6606636796851042,0.16234231703832336,-0.2593173866569466,-0.09401707661333318,2.5477029835994083
2022-01-02 - 2024-05-31,0.34420725650725603,0.08152276320152163,-0.23251252396330493,-0.09817149302666664,1.4803815753235672
2021-06-01 - 2023-12-31,0.44894879933730336,0.11376432009528581,-0.14639996104323152,-0.04893588115833332,3.0665909754219807
2021-01-02 - 2023-05-31,0.16050446498064463,0.03492744713988327,-0.27922450241666685,-0.07126167129333337,0.5748222795331022
2020-01-02 - 2022-12-31,0.539737617108994,0.14552775813890984,-0.10278135911470439,-0.04893588115833342,5.251318154945245
2019-06-01 - 2022-05-31,0.6857790831119479,0.17467762367547413,-0.10278135911470439,-0.04893588115833342,6.672212636793564
2019-01-02 - 2021-12-31,0.9574807270084145,0.23376721296629843,-0.10278135911470439,-0.04893588115833342,9.315704085405821
