Multiplier,CAGR,MaxDD,Calmar,TotalReturn
1.5,0.07335705576672957,-0.042763037095915266,1.7154313806616102,0.3010890902633334
1.7,0.08122037671661952,-0.04574176658003974,1.7756283324671926,0.33688214555500173
1.9,0.09274374487124093,-0.04536347205445142,2.044458694870561,0.39062873963833433
2.1,0.09997035350906369,-0.04873871818282038,2.0511485988218223,0.4251301921483348
2.3,0.10748301689568374,-0.04981189407751679,2.157778154920584,0.46165644509333514
2.5,0.114656057637188,-0.05098185593748328,2.248958095558261,0.4971656639783353
2.7,0.1180762146619303,-0.04082120740223644,2.8925213675933885,0.514316880730002
2.9,0.11823448053826469,-0.048299161787676015,2.4479613343607407,0.5151140044466689
3.1,0.11672398038295406,-0.048592868109440926,2.4020804888500953,0.507518696400002
3.3,0.115650154049594,-0.05206842568210012,2.2211187016808873,0.5021360869766691
3.5,0.1147329726688453,-0.055850630348430776,2.054282502329339,0.497549804810002
