roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Cal_2020,Ret_2021,Cal_2021,Ret_2022,Cal_2022,Ret_2023,Cal_2023,Ret_2024,Cal_2024,Ret_2025,Cal_2025
8,7,15,4.0,0.4,14,0.31291330589006194,1.7303661798225203,-0.18083646660393973,0.7403237464583328,7.789671726016236,0.11930400869455382,0.9219223535047147,-0.07537540642550089,-0.42153046424453633,0.2716417420807322,1.6788230410474094,0.7119787011023972,5.097095366115806,0.20984868002734358,3.02344430869225
8,7,15,4.0,0.4,20,0.31740890964392166,1.75522623066451,-0.18083646660393973,0.7403237464583328,7.789671726016236,0.11930400869455382,0.9219223535047147,-0.0660078514130088,-0.36916458602175295,0.26891728774085344,1.755373581610013,0.7063153191079734,5.092020374261114,0.2279417527619565,3.6117250202097138
8,7,15,4.0,0.42,14,0.3166050979230828,1.7872125590018244,-0.17715021994916474,0.7403237464583328,7.789671726016236,0.11930400869455382,0.9219223535047147,-0.046722298894969594,-0.2667744223135313,0.26347688095306987,1.9448630762661516,0.6949348857220154,5.081822253805307,0.21189737351891158,3.332660757557833
8,7,15,4.0,0.42,20,0.3187325374864942,1.799221799317879,-0.17715021994916474,0.7403237464583328,7.789671726016236,0.11930400869455382,0.9219223535047147,-0.06206250121354184,-0.354330522090827,0.2677861112219482,1.790361682883513,0.703956936558729,5.08990700878916,0.23257436168494228,4.003655558436986
8,7,15,4.0,0.44,14,0.3082261321291546,1.3742325358848235,-0.2242896482804476,0.6460627054583326,6.300971717375014,0.12592366011813483,0.9299640181903852,-0.09084106332464292,-0.40955895364231026,0.29002866790908244,1.6110755733331226,0.749589094349121,5.13079792544183,0.22153291014464926,3.337233253623671
8,7,15,4.0,0.44,20,0.31497101025019303,1.4694717906893022,-0.21434301239797596,0.7403237464583328,7.789671726016236,0.11930400869455382,0.9219223535047147,-0.10186954747198207,-0.4805608109635327,0.27965495954657027,1.5023130573744916,0.728499462446037,5.111899643509322,0.23731886431589921,4.006141974323447
8,7,15,4.5,0.4,14,0.31607325002423114,1.5789896757537298,-0.20017436141458858,0.7736021682666658,8.641018008304199,0.08421667745074668,0.5902736733572775,-0.08465323635849342,-0.4276567848802261,0.2978867573920556,1.7011663311999552,0.7364693014927164,5.52352528950635,0.2131406002034797,3.0964808530111494
8,7,15,4.5,0.4,20,0.3205185685388676,1.6103648941623547,-0.19903474653524916,0.7736021682666658,8.641018008304199,0.08421667745074668,0.5902736733572775,-0.07515737241897014,-0.3818814718670127,0.2948281914985482,1.7706607974061315,0.7305920096617264,5.518295476817371,0.2310205150818383,3.6894540075457303
8,7,15,4.5,0.42,14,0.3194469569410898,1.6352440349316046,-0.19535124428963346,0.7736021682666658,8.641018008304199,0.08421667745074668,0.5902736733572775,-0.055607662546371284,-0.2879099144562924,0.28872500177805516,1.940342303236732,0.718782658656993,5.507787051158866,0.2136627168473546,3.3131370327854297
8,7,15,4.5,0.42,20,0.3215529315691157,1.6460244865006948,-0.19535124428963346,0.7736021682666658,8.641018008304199,0.08421667745074668,0.5902736733572775,-0.0711579821151026,-0.3683868269611389,0.29355872587610476,1.8022422521932764,0.728144640011473,5.516117718234798,0.23412754108958223,3.963494354010197
