Period,Multiplier,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
10,1.5,0.23433683802965377,-0.13901600338687997,1.6856824561233932,0.777765048393922,7.694126232567015,0.4111384021742228,3.375598616772704,0.03951139497292,0.5048147667909066,0.029023459467173218,0.2343244517956124,0.2408983884719227,1.7328824207491074,0.14782098014240508,2.514728581051245
10,2.0,0.25826003414935794,-0.13499551771932963,1.9131008089195127,0.8511197439185052,8.781091078841358,0.41653732141931044,3.3731651257869206,-0.005286297400707185,-0.05979875392253702,0.03924145945783075,0.36447162320881127,0.3300958887544647,2.445235918430788,0.2063288795921534,3.1854408037971624
10,2.5,0.30946785180586023,-0.13048797210775115,2.371619750135403,1.5234266876337181,15.04568680708308,0.39529662907777996,3.029372153560342,-0.00602286524746265,-0.06645443166075542,0.11172593269188758,1.3164332156652812,0.26063414524635475,3.161336639685194,0.21234160253635892,4.111250774182738
10,3.0,0.3246620759126866,-0.12841729136276445,2.5281803756127563,1.543086929777219,14.948682866334341,0.43258731049124144,3.368606407288492,-0.005576970906414513,-0.05920387180493822,0.1535126892940768,1.7344602000245983,0.24692975890144986,3.084596551546056,0.22205990586284607,4.4991535089715455
10,3.5,0.3341866538039351,-0.12228479262540691,2.7328553831517204,1.7122400859218838,16.35779346168772,0.43712029718181733,3.5746088110959233,0.02452513881230578,0.3052654041399807,0.1657257433895638,2.5656410153091844,0.20730380257203374,3.03538227650658,0.2027978431265418,3.9223124762057964
10,4.0,0.3338167755808603,-0.12149021056982547,2.747684558411412,1.8194324309232415,16.931595366666894,0.39296430987985964,3.234534766519371,0.02121037837125561,0.2830380612591284,0.16120753214938977,2.4002562157447276,0.22808162845800362,3.1881811909215454,0.19321786301000365,3.6870819568184454
10,4.5,0.33530824358376377,-0.12916933021006197,2.5958812594171374,1.814252360477819,16.727574608783744,0.41296091594804474,3.1970508423049493,0.006958089626134756,0.09532635522990138,0.16726744008857053,2.559832403730906,0.22702907747335033,3.2674436972316188,0.1970810790672619,3.766656186879978
10,5.0,0.33669777837157544,-0.13981760366257998,2.408121506531637,1.8680160470015386,17.26285618267061,0.4009210384764581,2.867457515893318,0.0008137897281939033,0.010149963128674892,0.182128434852735,2.784047300470435,0.21081435616612065,3.480987736333135,0.2065726588830532,3.9408455466148924
10,5.5,0.3346778123140608,-0.14342830573249352,2.3334153645952185,1.8022782727626319,16.333765300182485,0.40962768593898957,2.855975212472923,0.0008221208392713564,0.010152788799255564,0.19222506268893658,2.7857036372782558,0.2005834818451795,3.341175703868188,0.20855587059513048,3.9113569503854366
10,6.0,0.33789839846835634,-0.15019282696944822,2.2497638887714033,1.8022782727626319,16.333765300182485,0.4239938505903187,2.822996671316176,0.002707876880826632,0.034552351486080324,0.19416078371134082,2.8463445863420627,0.2015488045478504,3.2076593925807626,0.20782856606743838,3.869332340080284
15,1.5,0.22506015940694946,-0.15130277925038474,1.4874819915535502,0.6268376252072045,4.142935300414256,0.42990567832311855,3.0027142673485483,0.02931272061161727,0.3062362238559773,0.04336688498182251,0.37886612224010013,0.2680053775999489,1.9559939147892855,0.13471379988843335,2.268212952855348
15,2.0,0.2618769192350072,-0.12549568084006027,2.0867404956251834,0.9403450685887267,10.056503853646342,0.4144431745646926,3.5286127800088014,-0.004716091131124922,-0.05503521131139579,0.052970614983759656,0.5311619056794994,0.3199776853306615,2.549710740550996,0.18041391070345036,3.368542656478534
15,2.5,0.2849308473161798,-0.1204395266888036,2.3657586105630863,1.3082806620177414,14.659594232987848,0.3282490441364865,2.72542622144829,-0.004994572268226305,-0.06279094066633502,0.0808547965388291,0.7701107009865518,0.2886791267398181,3.3496241393244026,0.22351968351021934,3.7867084188136286
15,3.0,0.3268872165764667,-0.13308433268286352,2.4562411666851154,1.5803218869680657,15.534410708397019,0.43631429439566727,3.2784797849600587,0.002926833772176174,0.03492751818590493,0.12291666129480627,1.4819266327859097,0.2714481955455863,3.4498892996058284,0.21658701708987182,4.432828128829453
15,3.5,0.3261818208411278,-0.13108762346793165,2.4882732039224327,1.576882446869138,13.261361586092724,0.4399662970087417,3.356276400238287,-0.00018942988778647418,-0.0020403627369308015,0.16094078942762646,2.0600334986469195,0.2334482513363234,3.0374893645501158,0.21123360627472598,3.927606325884576
15,4.0,0.33754513605696745,-0.11329487442600011,2.979350458413183,1.7774948938666353,16.39693248496149,0.45450878064878464,4.011732948657377,0.02419637658901297,0.3250099617879987,0.15135137590566505,2.1931061682537933,0.2095022238538784,2.974500738647418,0.19845847030993835,3.8545182431869964
15,4.5,0.3315230954293895,-0.12285897978476011,2.6984034541894584,1.8201692671089522,17.058293905745828,0.39482549334786343,3.213647826472014,0.011136689521338061,0.1454813914953386,0.16116617796458077,2.4786688144763973,0.22995799247253834,3.029061553384449,0.1896692101683939,3.58990234872611
