roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Cal_2020,Ret_2021,Cal_2021,Ret_2022,Cal_2022,Ret_2023,Cal_2023,Ret_2024,Cal_2024,Ret_2025,Cal_2025
9,8,15,4.0,0.42,14,0.30669017602908055,1.5304231802934785,-0.20039566832114286,0.36128870829166626,4.093877759220562,0.5856580299392289,2.9758835811535262,-0.0016553280796589576,-0.015503140780145181,0.47898893467364156,6.611512892412041,0.2081580548691766,2.544704312814836,0.20183767724077972,2.605901010095854
9,8,15,4.0,0.42,20,0.30895161919147496,1.54170807073717,-0.20039566832114286,0.36128870829166626,4.093877759220562,0.5856580299392289,2.9758835811535262,0.011073072183714894,0.10371371188202738,0.47295894233185654,6.604760203699904,0.20638005321983233,2.5410394941603536,0.20522614096496627,2.6678338010043965
9,8,15,4.0,0.44,14,0.3050859906367369,1.4975373495214117,-0.20372512961645822,0.33821559395,3.7559973554979877,0.5957474475442157,2.9778371652303446,-0.006064222721701706,-0.05404892806212738,0.4863350197602383,6.619739145112179,0.21030460139503915,2.5491287935113376,0.20355205914417018,2.6067077831301897
9,8,15,4.0,0.44,20,0.30849424351991606,1.5394257076731843,-0.20039566832114286,0.36128870829166626,4.093877759220562,0.5856580299392289,2.9758835811535262,0.006729284233044197,0.06062286819671845,0.4749996432303387,6.60704550513323,0.206983403132317,2.542283118130373,0.20572170918280386,2.6680670906412485
9,8,15,4.3,0.42,14,0.3110964911188905,1.3955057485896627,-0.222927416410354,0.34252942042499934,3.645737904209665,0.5901635633803912,2.695748951506037,-0.005370214212957247,-0.049566033601672575,0.47704841141210785,6.53318183122268,0.22204309477994633,2.676185844865884,0.23096569012153778,2.904623134164586
9,8,15,4.3,0.42,20,0.3133224215114607,1.4054907492163817,-0.222927416410354,0.34252942042499934,3.645737904209665,0.5901635633803912,2.695748951506037,0.007500070465323194,0.06922943386871881,0.47095436830463755,6.525877711718594,0.22011594609382845,2.672080028109355,0.23416335443915526,2.965136795395121
9,8,15,4.3,0.44,14,0.3095177075878701,1.365663414966856,-0.2266427468113598,0.3194563060833331,3.3322368655068884,0.6004750283815983,2.698033367220162,-0.00986956545107276,-0.08667590401395765,0.4844756215704753,6.542083625713442,0.22437041639562927,2.6811442559522556,0.23293675233262134,2.9055323778895716
9,8,15,4.3,0.44,20,0.31287220044153163,1.4034711633028198,-0.222927416410354,0.34252942042499934,3.645737904209665,0.5901635633803912,2.695748951506037,0.0031078619905404725,0.02759221544518272,0.47301648928492623,6.528349320012604,0.22076984784767495,2.673473173064104,0.23473143568875687,2.9653989366007627
9,8,15,4.5,0.42,14,0.30907895803393015,1.2645459084507134,-0.24441893012220106,0.3426764336666659,3.647767946081716,0.5422658049586966,2.2585857066674575,-0.005537292216545531,-0.04958189576874755,0.5007254072622529,6.667938544046302,0.22869586559047828,2.940759520502758,0.23172779152478418,2.8878333170462844
9,8,15,4.5,0.42,20,0.3113210646068627,1.2737191200829365,-0.24441893012220106,0.3426764336666659,3.647767946081716,0.5422658049586966,2.2585857066674575,0.007733412516575777,0.06925175173323787,0.49413142223643614,6.660031985216724,0.22668145512120885,2.936124137453834,0.234950096757659,2.948358316545407
9,8,15,4.5,0.44,14,0.3074886048016354,1.2374184894291897,-0.24849200769860583,0.31960331932499964,3.3342023266315257,0.5517393353452642,2.260491784332817,-0.010180103228313864,-0.08670418871720752,0.5087690591722556,6.677583078687529,0.23112926845253856,2.9463590755871536,0.23372426600729423,2.888754188359205
9,8,15,4.5,0.44,20,0.3108675844714197,1.2718637804199397,-0.24441893012220106,0.3426764336666659,3.647767946081716,0.5422658049586966,2.2585857066674575,0.0032045537343361463,0.0276010884520569,0.4963621252599082,6.6627067449394435,0.22736490690655065,2.9376968341961223,0.2355254645095468,2.948623792714655
9,8,15,4.7,0.42,14,0.3138038116041868,1.2803876579360645,-0.24508500192045465,0.3533284224499995,3.7674472483807193,0.5550645747538241,2.3057698749070985,-0.00396540981603366,-0.03625944997428319,0.49187831836575047,6.657330343097918,0.23796614445466058,3.1003496328469042,0.23328378503760416,2.82353388071038
9,8,15,4.7,0.42,20,0.316008255955339,1.2893822693316148,-0.24508500192045465,0.3533284224499995,3.7674472483807193,0.5550645747538241,2.3057698749070985,0.009091426406828473,0.08313779171364183,0.48551380621510476,6.649698689200909,0.23589467174075796,3.095592285573342,0.23643380462077523,2.881115896447167
9,8,15,4.7,0.44,14,0.31224039315459207,1.2533513577031778,-0.24912439056737168,0.33025530810833326,3.4511536010274924,0.5646841179697726,2.307814692652174,-0.00851506054973783,-0.07405932816550977,0.4996380396649407,6.666634742267743,0.24046790242719118,3.1060951981929485,0.23525479673529492,2.8244980426503314
9,8,15,4.7,0.44,20,0.31556236405913674,1.287562933620705,-0.24508500192045465,0.3533284224499995,3.7674472483807193,0.5550645747538241,2.3057698749070985,0.004635553973121986,0.04076488642030478,0.4876672115736371,6.6522808467844,0.23659753209244272,3.0972064736420855,0.23700175394187273,2.8813938039960036
9,8,15,5.0,0.42,14,0.3136818758911333,1.1905209116207314,-0.2634828778136272,0.3533284224499995,3.7674472483807193,0.5203187805230034,2.010131445713397,-0.011112169866793753,-0.09737147929227527,0.5214363010735161,7.623925943698036,0.23799113157920138,2.7917242037246197,0.24531959760521937,2.9402483337274576
9,8,15,5.0,0.42,20,0.31588728256014575,1.198891120293541,-0.2634828778136272,0.3533284224499995,3.7674472483807193,0.5203187805230034,2.010131445713397,0.0022447019221376596,0.01967097208453818,0.514487142044612,7.614549704672448,0.23589819181188787,2.7873597242197463,0.248416439289336,2.9978069890505377
9,8,15,5.0,0.44,14,0.3121177693279231,1.1653773744082179,-0.26782549256751914,0.33025530810833326,3.4511536010274924,0.5293361619646679,2.011909169265196,-0.015848994221830948,-0.13213020956034244,0.5299162265382029,7.635367265349124,0.24051931846533403,2.7969963417225006,0.2474138221166886,2.9412733465994467
9,8,15,5.0,0.44,20,0.31544119676104776,1.1971980850466226,-0.2634828778136272,0.3533284224499995,3.7674472483807193,0.5203187805230034,2.010131445713397,-0.0023135628664363583,-0.01950789008486799,0.5168377489452067,7.617721317105584,0.23660829377320458,2.7888405224327486,0.24901928778209337,2.9981021393028264
