SMA,CAGR,MaxDD,Calmar
2,0.288961744213442,-0.27657430376000847,1.0447888335432003
3,0.30503880618731416,-0.2140583834806816,1.425026206529507
4,0.30804440945089384,-0.1603366990376894,1.9212345726194828
5,0.3132249694991711,-0.19900719127736025,1.5739379440948107
6,0.3162690770509651,-0.19573260098602963,1.6158221750373547
7,0.31017931907153096,-0.19014410953406038,1.6312854488714452
8,0.31281896480100446,-0.16517887084727023,1.893819489117631
9,0.3308286052629079,-0.1701757396969609,1.9440409417466222
10,0.3260553140117697,-0.17098550562904236,1.9069178572314511
11,0.3317966910042749,-0.17305534447826573,1.9172865883142125
12,0.32411384617482897,-0.20091684885036684,1.6131740470218767
13,0.3249634653594138,-0.1993133375486865,1.6304150507741841
14,0.32747758104993663,-0.19357503928128508,1.6917345452482484
15,0.32898491176833455,-0.1962879322162284,1.6760322861108383
16,0.32546963660195827,-0.16294722008720158,1.9973929989586963
17,0.3202292477229274,-0.17157354686030588,1.8664255276115267
18,0.3235170093578923,-0.1650867236733595,1.959679144144885
19,0.3336477813848895,-0.22183753822863775,1.5040185896807692
20,0.33478111254063214,-0.21683824185942813,1.5439209876902802
21,0.3324841457781922,-0.21683824185942813,1.533327991073341
22,0.3300385028927102,-0.23818361242198224,1.3856473983944437
23,0.3292421145530744,-0.23818361242198224,1.3823038084155292
24,0.31330124706846685,-0.21898617877161294,1.430689593406796
25,0.29933065631843325,-0.2846258640223301,1.0516635842164699
26,0.3163384074344877,-0.18944188401665935,1.6698440742210376
27,0.2952409244717322,-0.30251058606549824,0.9759689018215315
28,0.33069951455751334,-0.23994435142731402,1.3782342138514214
29,0.3329110773572064,-0.15894250100208604,2.094537806177072
30,0.3224463282175398,-0.24131354500000005,1.3362131339023666
31,0.3194160318732646,-0.19641130608953764,1.626260922717214
32,0.2905782165975017,-0.3326035037741887,0.8736474910822984
33,0.32997881193462675,-0.2482014159999999,1.3294799733722182
34,0.33611029599658826,-0.1661360122809223,2.0231031874549474
35,0.3275905386826823,-0.20409763428485383,1.6050677893966794
36,0.3351129102786694,-0.1951058101982057,1.7175957493948137
37,0.29188241339949506,-0.33282955129348124,0.8769726494091267
38,0.33325485098107843,-0.23662277555213707,1.4083802803997183
39,0.33720137404430583,-0.1582193162444094,2.1312276025982424
40,0.33290261479650307,-0.20572722233124008,1.6181748386244126
41,0.33500877565421305,-0.1961323910199121,1.7080747035822437
42,0.29187785867651406,-0.33365994539343036,0.8747764384255067
43,0.3328407998343821,-0.20349268514975857,1.6356401193951073
44,0.3394585211837702,-0.13966662303730176,2.430491364376359
45,0.3405699134036866,-0.18965463924785553,1.7957373189200143
46,0.33740208515291736,-0.2182250067252827,1.5461201730086933
47,0.3007464238827964,-0.3149788205166338,0.9548147503679988
48,0.33524779572503216,-0.1893001901485664,1.770984991942815
49,0.3418120672677536,-0.12568064096117537,2.719687492470256
50,0.3410028713447617,-0.18944998937245447,1.7999624728104768
51,0.34935072428613956,-0.18147287439735246,1.9250850874891763
52,0.2947309647815901,-0.33576994417130446,0.8777764951803521
53,0.33718204294650667,-0.18843752172079717,1.789357235583369
54,0.34283545293239315,-0.1328071110382579,2.581454037002824
55,0.34482370204984414,-0.18669723882539543,1.846967337167386
56,0.34269319627544736,-0.20087666719595373,1.7059880625217294
57,0.3006529296378231,-0.33167818283291484,0.9064597709439305
58,0.3371804426268792,-0.19115633998719342,1.763898820460094
59,0.34281773514141056,-0.11891285750884416,2.882932445853582
60,0.34920174312964947,-0.180175521018785,1.9381197909412005
61,0.3482853132251029,-0.19755653027489695,1.7629653281542712
62,0.30069311188034753,-0.3343284864247915,0.8993942307934014
63,0.33718599673084393,-0.19907715307174714,1.6937453219924365
64,0.34423162562063214,-0.11885831202874998,2.896151053679509
65,0.3471305568396219,-0.18872118908281438,1.8393830524631474
66,0.3491501637273615,-0.2013833829771963,1.7337585582565054
67,0.30077273827262174,-0.3330479939138224,0.903091277440476
68,0.3380815003582254,-0.19965004396721386,1.6933705279511206
69,0.3484465763832658,-0.11702697009041764,2.97748951471655
70,0.35119097383874553,-0.1898802092607761,1.8495396397864183
71,0.35944106052637603,-0.1818154801450408,1.9769552088724067
72,0.3027964667824863,-0.32190254006793995,0.9406464040904393
73,0.3421343146813929,-0.1838903167459499,1.8605346966369192
74,0.35061944437066805,-0.11664270858606358,3.0059268052058927
75,0.35642753017477524,-0.1790775550995341,1.9903528947369604
76,0.36169544377394347,-0.19517666170941292,1.85316953679867
77,0.31256417985899954,-0.30339311648036976,1.0302283172572346
78,0.3513208986656726,-0.1745092183456289,2.013193927497025
79,0.35047071991262957,-0.11759719277145643,2.9802643383992153
80,0.35288432473001485,-0.18913506841965422,1.8657794542206876
