Period,Start,End,Trading_CAGR,Auth_CAGR,Std_MaxDD,Fixed_MaxDD,Calmar
In-Sample (Train),2019-01-01,2023-12-31,0.408310498956046,0.11807621466192986,-0.12637297787969926,-0.04823930596666669,3.230995310917949
Out-of-Sample (Test),2024-01-01,2025-12-31,0.6455041747715256,0.1581185715744362,-0.14296025227429562,-0.0483623692050001,4.515270255210565
Full Period,2019-01-01,2025-12-31,0.349479737511327,0.11990309878147154,-0.12637297787969926,-0.04823930596666669,2.7654625488370956
