roc,reb,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Cal_2020,Ret_2021,Cal_2021,Ret_2022,Cal_2022,Ret_2023,Cal_2023,Ret_2024,Cal_2024,Ret_2025,Cal_2025
10,7,4.0,0.3,5,0.29654629255297715,1.3542258503607572,0.5708355636083335,6.678673194564928,0.1807849908777599,0.9480126848292473,0.04342536640983563,0.2706270882128464,0.08121863485345582,0.4259782744741589,0.6030402373423358,2.765752099405956,0.3125408243971166,3.2640749641258058
10,7,4.0,0.3,10,0.2997987102504971,1.3989160422359166,0.6366845865499997,7.901985574079395,0.17386039387899044,0.9428843421262176,0.038095868134364164,0.24124808337740392,0.07891283754043821,0.4228981435850318,0.5870266846681871,2.750929417420002,0.30893000554373007,3.336499387567437
10,7,4.0,0.3,14,0.30396060814290515,1.4511502123410966,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.03692570885048396,0.24051022376675607,0.07655534743587089,0.4197490520375419,0.5705914626815012,2.735716625678767,0.30903498592337186,3.6112661804572275
10,7,4.0,0.3,20,0.3026787291394881,1.4450303437194045,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.03692570885048396,0.24051022376675607,0.07655534743587089,0.4197490520375419,0.5705914626815012,2.735716625678767,0.3016849566040005,3.801648617005326
10,7,4.0,0.35,5,0.2895665071884379,1.2556042507435528,0.5708355636083335,6.678673194564928,0.1807849908777599,0.9480126848292473,-0.026459710689674787,-0.17744806654071008,0.08681499603756637,0.4323636301357452,0.6437101034332233,2.803398363048136,0.32554304891696595,3.269929677051421
10,7,4.0,0.35,10,0.2978523603189165,1.3702820012601729,0.6366845865499997,7.901985574079395,0.17386039387899044,0.9428843421262176,0.01891954998676626,0.13163680856923235,0.08014430878473289,0.4234591569021946,0.5974914805303493,2.7606159618760016,0.3124232762186667,3.338099859257483
10,7,4.0,0.35,14,0.30426157433700296,1.4557353021128754,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.039959841199718404,0.2859991080029,0.07607729987375755,0.41803060829579786,0.5690643976877376,2.73430315214444,0.30850108359954787,3.611006007565526
10,7,4.0,0.35,20,0.30509033849560385,1.481818188413703,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.06058685861539259,0.43368099865882,0.07458560472183295,0.41603959759588177,0.5585903006057931,2.724608223312063,0.29756192857752417,3.799482803639207
10,7,4.0,0.4,5,0.28443630311547974,1.213377039223605,0.5708355636083335,6.678673194564928,0.1807849908777599,0.9480126848292473,-0.03999176873896215,-0.2698602212900559,0.06953306329255526,0.340643434343207,0.6572184413158169,2.815902699038027,0.31227439523536127,3.0985274237263143
10,7,4.0,0.4,10,0.292594752731949,1.3228172222818875,0.6366845865499997,7.901985574079395,0.17386039387899044,0.9428843421262176,0.003104725290412169,0.02159979280234807,0.06434258428426154,0.334051925389174,0.6106849507330812,2.7728283710840254,0.30009239652344966,3.1641588043492344
10,7,4.0,0.4,14,0.29912630542203233,1.407369131325787,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.024630787397890153,0.17627099410493652,0.0610559989907673,0.32987844152889617,0.5810197510602344,2.745369247974782,0.29650122114753685,3.4262246364186235
10,7,4.0,0.4,20,0.3026647808856746,1.4448193691462756,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.04418622523462168,0.3162556830928921,0.059912547024088214,0.32842646565639694,0.5706620637411277,2.7357819750874763,0.30170902956632273,3.8016612623269506
10,7,4.0,0.45,5,0.2751212265467591,1.1021775640409623,0.5336329170083334,6.031092637713295,0.18494663343198336,0.9510949284579,-0.06525857840494786,-0.35454147333933905,0.03408353532725772,0.15107779125927903,0.7125024670512512,2.8670791916993985,0.32146059222118484,3.045044567687871
10,7,4.0,0.45,10,0.28818467742154485,1.2711551175487874,0.5994819399499998,7.198676957166363,0.17770594500778691,0.9457323137636784,-0.010705411155568778,-0.059815759452563046,0.06648432731853027,0.3367717212286345,0.6299327959416183,2.7906451901563116,0.29989484434452196,3.1038714151307305
10,7,4.0,0.45,14,0.29365983414902175,1.3279861891364806,0.6108116621749997,6.9543790627371385,0.1765169235127515,0.944851728332505,0.01668348334009684,0.09760681836530381,0.06431991061016751,0.334023132528046,0.6104808294393838,2.7726394271643526,0.3059623819663084,3.4308308909556797
10,7,4.0,0.45,20,0.29840451024824133,1.3813389943067536,0.6997145185250004,8.999178290217442,0.1677115617317333,0.9383307731766128,0.003049169096954518,0.018564362256332945,0.06236968061854631,0.33154660442793105,0.5928959856242735,2.756362216946298,0.3091863820601142,3.8055889802394414
