roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2020_Ret,2021_CAGR,2021_Calmar,2021_Ret,2022_CAGR,2022_Calmar,2022_Ret,2023_CAGR,2023_Calmar,2023_Ret,2024_CAGR,2024_Calmar,2024_Ret,2025_CAGR,2025_Calmar,2025_Ret
10,10,2.5,5,0.4,10,0.22945827468367286,-0.20032185028379554,1.1454480595032435,0.6895979203766336,4.63448070764331,0.46306550242499966,0.481388589698579,2.4030757953593023,0.4730444340277531,-0.09222610137926324,-0.532854638926312,-0.09120347615549673,0.1829434608048892,1.2296571125414946,0.1800902553772279,0.18591032178477307,0.9976524374568008,0.1852184963493435,0.14855615675941647,0.88509185458246,0.14757660651307347
10,10,2.5,5,0.4,14,0.23796460271769804,-0.1932885671982338,1.23113646175278,0.8135935398903722,5.793871976158077,0.5402053082916662,0.45835091022982355,2.371329649103073,0.4504632529350867,-0.06952001216208537,-0.43067585896601207,-0.06873955298744672,0.1726255468359965,1.210689461700442,0.1699445389735672,0.17688408719227544,0.9904329709770656,0.17622828259580636,0.14539095474008845,0.9188386518090772,0.14443355877994346
10,10,2.5,5,0.4,20,0.24908606577787973,-0.1932885671982338,1.2886745935801824,0.8135935398903722,5.793871976158077,0.5402053082916662,0.45835091022982355,2.371329649103073,0.4504632529350867,-0.04333601584170632,-0.26846623391372726,-0.04284272411998291,0.1827421985974298,1.3221233943490087,0.17989236427143718,0.17059759279692832,0.9854047985928639,0.169966736305303,0.16903759716665134,1.0736307259939564,0.16791340737721683
10,10,2.5,5,0.45,10,0.2261891189233174,-0.202522845151688,1.1168573044384378,0.6530354296423688,4.3105912742292825,0.4400260782583325,0.48872510853469975,2.413185081261566,0.48023451420311725,-0.11226914510685349,-0.5985858847485047,-0.11103818461528525,0.1889591715441521,1.1672196317962142,0.1860049811257205,0.1911045730976948,1.0018069354843044,0.19039191278429013,0.1578294534015281,0.919395432120589,0.15678468970297765
10,10,2.5,5,0.45,14,0.23427857584477985,-0.195336931578585,1.199356281229023,0.7763077869852038,5.435422576745307,0.5171658841249993,0.4649973769698046,2.3804887954981204,0.45697854069834487,-0.08524571138608417,-0.48979669969089057,-0.0842968451961501,0.17731185809003258,1.2193044557495885,0.17455279789190437,0.18100226257089425,0.9937268248370839,0.18033005280513725,0.14826414122645004,0.9193706625600893,0.1472866371289958
10,10,2.5,5,0.45,20,0.24883528925785847,-0.1932885671982338,1.2873771732326869,0.8135935398903722,5.793871976158077,0.5402053082916662,0.45835091022982355,2.371329649103073,0.4504632529350867,-0.045112103159487216,-0.27650550733368207,-0.04459906926709989,0.18307853451431133,1.322767903032173,0.18022306635767982,0.17086544079489818,0.9856190340111745,0.17023352368482003,0.16926481014799544,1.073671860087712,0.16813900340379662
10,10,2.5,5,0.5,10,0.2180876807389549,-0.202522845151688,1.076854715208099,0.6530354296423688,4.3105912742292825,0.4400260782583325,0.48872510853469975,2.413185081261566,0.48023451420311725,-0.0956706312971003,-0.5582132962096746,-0.09461183650313665,0.18552683458051034,1.2344061309295644,0.18263031521583706,0.18814703551921808,0.9994414220536031,0.18744624779505403,0.09981527378118193,0.8431422009578636,0.09917086994472935
10,10,2.5,5,0.5,14,0.23771152310546584,-0.195336931578585,1.2169307728161651,0.7763077869852038,5.435422576745307,0.5171658841249993,0.4649973769698046,2.3804887954981204,0.45697854069834487,-0.06919509522309475,-0.4368267900282005,-0.06841814803163793,0.17428620361282277,1.213742307892758,0.1715775670937869,0.17834697076097905,0.99160303545385,0.1776853442358617,0.15213846385168206,1.315413629098786,0.15113377550494866
10,10,2.5,5,0.5,20,0.26024899593481154,-0.1932885671982338,1.3464272600660552,0.8135935398903722,5.793871976158077,0.5402053082916662,0.45835091022982355,2.371329649103073,0.4504632529350867,-0.02921187689560445,-0.1978271575104536,-0.028876927344046788,0.18011112708663357,1.3170815505742965,0.17730531812692907,0.1684972846753321,0.983724887223839,0.16787473769067418,0.2174437794469002,2.0249186942224275,0.21596909097037353
10,10,2.5,9,0.4,10,0.29728881185189393,-0.17154870050369878,1.7329703517368473,0.993816494709127,9.415557455324432,0.6497978351499996,0.45543268903503686,2.860229258138312,0.447602492920657,-0.038144087413371386,-0.30107612643297177,-0.03770872408615755,0.07302574000368267,0.4256851832119134,0.0719392136813759,0.32178671736133424,5.288487726862906,0.3205253146099478,0.32893334660754014,7.0079540954185795,0.32660735017348763
10,10,2.5,9,0.4,14,0.2997565330367249,-0.15884412579701063,1.8871112263842127,1.0007688014403104,9.507689992642469,0.653969626258333,0.45432783019297895,2.8602117195921464,0.44651936777319845,-0.019994648473903753,-0.1831249595143682,-0.019764307948094917,0.07156766667329029,0.46481853103174464,0.07050353945391041,0.31575248595247296,5.266211876554934,0.31451742608722033,0.3242243751937304,7.002097401101657,0.32193552696308947
