SMA,ROC,Multiplier,Breadth,Full_Trading_CAGR,Full_Std_MaxDD,Full_Calmar,Return_2022
250,8,2.3,240,0.23781067443345427,-0.2568012680616963,0.9260494553956815,-0.05762451278788164
250,8,2.3,270,0.24190373541197818,-0.20029738680833342,1.2077228728074136,-0.0010633069554143078
250,8,2.3,290,0.2946020093532389,-0.3959122546722045,0.7441093471510615,-0.06505491245139369
250,8,2.3,310,0.31558864465026315,-0.1655391775811133,1.9064287334375962,0.10423621826674258
250,8,2.5,240,0.227613981895332,-0.30015135215253685,0.7583306897103652,-0.0739877835890101
250,8,2.5,270,0.23941771916479815,-0.2072329341029894,1.1553072883956454,-0.01112919632255835
250,8,2.5,290,0.3039691205980257,-0.3863357363834881,0.7868004224602643,-0.050216677978338016
250,8,2.5,310,0.3273289786978708,-0.15798522133026702,2.0718961934647786,0.11684868409172812
250,8,2.7,240,0.22026974558804469,-0.3245674715245597,0.6786562576754617,-0.07616031560398968
250,8,2.7,270,0.24089622698643365,-0.22358080338111763,1.0774459315981615,-0.007832827525880496
250,8,2.7,290,0.30163716374166905,-0.3956288821803089,0.7624245279549563,-0.05645693713457621
250,8,2.7,310,0.3304038636950384,-0.14567516935152874,2.268086353809144,0.12210861971763261
250,8,3.0,240,0.21866728880542752,-0.3114926160534593,0.7019983060140956,-0.07805700212474784
250,8,3.0,270,0.24363639089340672,-0.21688070248041713,1.1233659247087944,-0.011202791172394522
250,8,3.0,290,0.31116304296227626,-0.3833172968592523,0.8117636368403436,-0.05438152252225047
250,8,3.0,310,0.3351429636942391,-0.141882282793886,2.3621199003479885,0.11870958590153256
250,10,2.3,240,0.2808279243513583,-0.3627847268421829,0.7740897109858842,0.043892506814295136
250,10,2.3,270,0.2673052065675874,-0.24993919115238952,1.069480961889685,-0.1128896161644317
250,10,2.3,290,0.2994343967250852,-0.22484230860132254,1.3317529009009825,-0.04517966808138212
250,10,2.3,310,0.3149823102229028,-0.15338881030666068,2.0534894924419733,-0.022759392886465023
250,10,2.5,240,0.2741299496374674,-0.36947753318000776,0.7419394280298839,0.03584930778420514
250,10,2.5,270,0.26861171185685007,-0.24833049261689952,1.0816702734578731,-0.12050058416338624
250,10,2.5,290,0.30991666425667486,-0.2133883130379244,1.4523600652937116,-0.03295947518012591
250,10,2.5,310,0.325577039972045,-0.15633321305790124,2.0825839474780117,0.0008065727206890378
250,10,2.7,240,0.274622377415757,-0.3654401122776107,0.7514839454929267,0.03295163041787404
250,10,2.7,270,0.26485855589379725,-0.2515162047587146,1.0530476799611472,-0.12360535065263356
250,10,2.7,290,0.3059261574868011,-0.21124516768523677,1.4482042871751866,-0.04580433792132304
250,10,2.7,310,0.32701877697707116,-0.1602190248903475,2.041073319481753,0.0069060340296967565
250,10,3.0,240,0.2751047170322083,-0.3554988672467634,0.7738553969603765,0.013761553951843428
250,10,3.0,270,0.2598819498323741,-0.2621818346804776,0.9912279016168059,-0.11757385915335418
250,10,3.0,290,0.3180147379037741,-0.19927266857546258,1.595877348244298,-0.04239348743775016
250,10,3.0,310,0.3332875041475356,-0.15906772244179093,2.095255398338267,0.01190338024898586
